Subsector,Variable,Incluida en fake data ,Responsable ,Observada,Correspondencia,Archivo,Definición,Nombre,cantidad de datos,,283.6666667
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_diesel,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_electricity,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_gas_furnace,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_gas_petroleum_liquid,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_gasoline,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_geothermal,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_hydrogen,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_hydropower,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_kerosene,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_natural_gas,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_nuclear,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_ocean,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_oil,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_other,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_solar,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_waste,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_wind,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biofuels,0,,,,,"ef_enfu_stationary=Methane stationary fuel combustion emission factor, entered as tonne of CH4 are emitted per TJ of energy demanded",,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biogas,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biomass,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coke,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_diesel,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_electricity,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gas_furnace,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gas_petroleum_liquid,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gasoline,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_geothermal,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrogen,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydropower,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_kerosene,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_nuclear,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_ocean,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_oil,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_other,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_solar,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_waste,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_wind,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biofuels,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biogas,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biomass,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coke,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_diesel,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_electricity,0,,,Fossil fuels_Electricity output (GWh),WEBH2021,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gas_furnace,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gas_petroleum_liquid,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gasoline,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_geothermal,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrogen,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydropower,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_nuclear,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_ocean,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_other,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_solar,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste,0,,,,,,,,,
Energy Fuels,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_wind,0,,,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_biomass,1,Edmundo,1,,,efficfactor_enfu_industrial=Average Industrial Energy Fuel Efficiency Factor,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_coal,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_coke,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_diesel,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_electricity,1,Edmundo,1,Electricity_Industry (PJ),WEBH2021,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_gas_furnace,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_gas_petroleum_liquid,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_gasoline,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_hydrogen,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_kerosene,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_natural_gas,1,Edmundo,1,Natural gas_Industry (PJ),WBH2021,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_oil,1,Edmundo,1,,,,,,,
Energy Fuels,efficfactor_enfu_industrial_energy_fuel_solar,1,Edmundo,1,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_biofuels,0,,,,,energydensity_enfu=Volumetric Energy Density,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_biogas,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_biomass,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_coal,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_coke,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_diesel,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_gas_furnace,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_gas_petroleum_liquid,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_gasoline,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_hydrogen,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_kerosene,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_natural_gas,0,,,,,,,,,
Energy Fuels,energydensity_enfu_mj_per_litre_fuel_oil,0,,,,,,,,,
Energy Fuels,energydensity_gravimetric_enfu_gj_per_tonne_fuel_biogas,0,,,,,energydensity_gravimetric=Gravimetric Energy Density,,,,
Energy Fuels,energydensity_gravimetric_enfu_gj_per_tonne_fuel_nuclear,0,,,,,,,,,
Energy Fuels,energydensity_gravimetric_enfu_gj_per_tonne_fuel_waste,0,,,,,,,,,
Energy Fuels,exports_enfu_pj_fuel_coal,1,Hermilo,1,"Coal, peat and oil shale-Exports (PJ)",WEBH2021,exports_enfu=Unused Fuel Exported,,,,
Energy Fuels,exports_enfu_pj_fuel_electricity,1,Hermilo,1,Electricity_Exports (PJ),WEBH2021,,,,,
Energy Fuels,exports_enfu_pj_fuel_natural_gas,1,Hermilo,1,Natural gas_Exports (PJ),WEBH2021,,,,,
Energy Fuels,exports_enfu_pj_fuel_oil,1,Hermilo,0,,,,,,,
Energy Fuels,frac_enfu_fuel_demand_imported_pj_fuel_coal,1,Hermilo,1,"Coal, peat and oil shale-Imports (PJ)",WEBH2021,frac_enfu_fuel=Fraction of Fuel Demand Imported,,,,
Energy Fuels,frac_enfu_fuel_demand_imported_pj_fuel_electricity,1,Hermilo,1,Electricity-Imports (PJ)',WEBH2021,,,,,
Energy Fuels,frac_enfu_fuel_demand_imported_pj_fuel_natural_gas,1,Hermilo,1,Natural gas_Imports (PJ),WEBH2021,,,,,
Energy Fuels,frac_enfu_fuel_demand_imported_pj_fuel_oil,1,Hermilo,0,Oil products-Imports (PJ),WEBH2021,,,,,
Energy Fuels,frac_enfu_minimum_fuel_to_electricity_fuel_biogas,0,,,,,frac_enfu_minimum=Minimum Fraction of Fuel Used for Electricity Generation,,,,
Energy Fuels,frac_enfu_minimum_fuel_to_electricity_fuel_waste,0,,,,,,,,,
Energy Fuels,frac_enfu_transmission_loss_fuel_electricity,0,,,,,,,,,
Energy Storage,nemomod_enst_capital_cost_st_batteries_usd_per_kwh,1,Mateo,0,,,nemomod_enst_capital=Cost to build a unit of capacity for the specified storage,,,,
Energy Storage,nemomod_enst_capital_cost_st_compressed_air_usd_per_kwh,1,Mateo,0,,,,,,,
Energy Storage,nemomod_enst_capital_cost_st_flywheels_usd_per_kwh,1,Mateo,0,,,,,,,
Energy Storage,nemomod_enst_frac_storage_charged_initial_st_batteries,0,,,,,nemomod_enst_frac=Fraction of available storage that is charge at time t=0,,,,
Energy Storage,nemomod_enst_frac_storage_charged_initial_st_compressed_air,0,,,,,,,,,
Energy Storage,nemomod_enst_frac_storage_charged_initial_st_flywheels,0,,,,,,,,,
Energy Storage,nemomod_enst_residual_capacity_st_batteries_gwh,0,,,,,nemomod_enst_residual=Used to enter existing capacity and to represent its lifetime (declining availability).,,,,
Energy Storage,nemomod_enst_residual_capacity_st_compressed_air_gwh,0,,,,,,,,,
Energy Storage,nemomod_enst_residual_capacity_st_flywheels_gwh,0,,,,,"nemomod_enst_total_annual_max_capacity_investment=Total annual maximum capacity investment, in units of power, for a generation technology (year-over-year maximum). If none, enter -999.",,,,
Energy Storage,nemomod_enst_total_annual_max_capacity_investment_st_batteries_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_max_capacity_investment_st_compressed_air_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_max_capacity_investment_st_flywheels_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_max_capacity_st_batteries_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_max_capacity_st_compressed_air_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_max_capacity_st_flywheels_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_min_capacity_investment_st_batteries_pj,0,,,,,nemomod_enst_total_annual_min_capacity,,,,
Energy Storage,nemomod_enst_total_annual_min_capacity_investment_st_compressed_air_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_min_capacity_investment_st_flywheels_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_min_capacity_st_batteries_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_min_capacity_st_compressed_air_pj,0,,,,,,,,,
Energy Storage,nemomod_enst_total_annual_min_capacity_st_flywheels_pj,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_biogas,0,,,,,Technology Efficiency of Fuel Use,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_biomass,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_coal,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_gas,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_geothermal,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_hydropower,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_nuclear,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_ocean,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_oil,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_solar,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_waste_incineration,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_pp_wind,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_st_batteries,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_st_compressed_air,0,,,,,,,,,
Energy Technology,efficfactor_entc_technology_fuel_use_st_flywheels,0,,,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_biogas_mm_usd_per_gw,1,Mateo,0,,,Cost to build a unit of capacity for the specified technology,,,,
Energy Technology,nemomod_entc_capital_cost_pp_biomass_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_coal_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_hydropower_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_nuclear_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_ocean_mm_usd_per_gw,1,Mateo,0,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_oil_mm_usd_per_gw,1,Mateo,0,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_solar_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_waste_incineration_mm_usd_per_gw,1,Mateo,0,,,,,,,
Energy Technology,nemomod_entc_capital_cost_pp_wind_mm_usd_per_gw,1,Mateo,1,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_biogas_ch4,0,,,,,ch4NemoMod EmissionsActivityRatio Scalar,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_biogas_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_biogas_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_gas_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_gas_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_gas_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_geothermal_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_geothermal_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_geothermal_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_hydropower_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_hydropower_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_hydropower_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_nuclear_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_nuclear_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_nuclear_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_ocean_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_ocean_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_ocean_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_oil_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_oil_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_oil_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_solar_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_solar_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_solar_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_waste_incineration_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_waste_incineration_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_waste_incineration_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_wind_ch4,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_wind_co2,0,,,,,,,,,
Energy Technology,nemomod_entc_emissions_activity_ratio_scalar_pp_wind_n2o,0,,,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_biogas_mm_usd_per_gw,1,Edmundo,0,,,NemoMod FixedCost,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_biomass_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_coal_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_gas_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_geothermal_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_hydropower_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_nuclear_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_ocean_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_oil_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_solar_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_waste_incineration_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_fixed_cost_pp_wind_mm_usd_per_gw,1,Edmundo,0,,,,,,,
Energy Technology,nemomod_entc_reserve_margin,1,Hermilo,0,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_biogas,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_biomass,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_coal,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_gas,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_geothermal,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_hydropower,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_nuclear,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_ocean,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_oil,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_solar,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_waste_incineration,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_wind,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_batteries,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_compressed_air,0,,,,,,,,,
Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_flywheels,0,,,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_biogas_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_biomass_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_coal_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_gas_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_geothermal_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_hydropower_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_nuclear_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_ocean_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_oil_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_solar_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_waste_incineration_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_residual_capacity_pp_wind_gw,1,Hermilo,1,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_biogas_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_biomass_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_coal_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_gas_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_geothermal_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_hydropower_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_nuclear_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_ocean_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_oil_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_solar_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_waste_incineration_gw,0,,,,,,,,,
Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_wind_gw,0,,,,,,,,,
