Year,iso_code3,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
2013,COM,0.0
2014,COM,0.0
2015,COM,0.0
2016,COM,0.0
2017,COM,0.0
2018,COM,0.0
2019,COM,0.0
2020,COM,0.0
2010,CPV,0.0
2011,CPV,0.0
2012,CPV,0.0
2013,CPV,0.0
2014,CPV,0.0
2015,CPV,0.0
2016,CPV,0.0
2017,CPV,0.0
2018,CPV,0.0
2019,CPV,0.0
2020,CPV,0.0
2010,CRI,0.0676814595478065
2011,CRI,0.0681210359535147
2012,CRI,0.0715667775795387
2013,CRI,0.0723508779368435
2014,CRI,0.0708901049129692
2015,CRI,0.0669918189620436
2016,CRI,0.0675901082272616
2017,CRI,0.0698392504846029
2018,CRI,0.0741389578665465
2019,CRI,0.0727028962071082
2020,CRI,0.0713214100701809
2010,CUB,0.0365729633402889
2011,CUB,0.0374052997201619
2012,CUB,0.0398903680467661
2013,CUB,0.0408971007870373
2014,CUB,0.0406024529203839
2015,CUB,0.0388477929346423
2016,CUB,0.0398991707640833
2017,CUB,0.0419504534950769
2018,CUB,0.0452967718119479
2019,CUB,0.0451638004999315
2020,CUB,0.0450316075929249
2010,CUW,0.0
2011,CUW,0.0
2012,CUW,0.0
2013,CUW,0.0
2014,CUW,0.0
2015,CUW,0.0
2016,CUW,0.0
2017,CUW,0.0
2018,CUW,0.0
2019,CUW,0.0
2020,CUW,0.0
2010,CYM,0.0365729633402889
2011,CYM,0.0374052997201619
2012,CYM,0.0398903680467661
2013,CYM,0.0408971007870373
2014,CYM,0.0406024529203839
2015,CYM,0.0388477929346423
2016,CYM,0.0398991707640833
2017,CYM,0.0419504534950769
2018,CYM,0.0452967718119479
2019,CYM,0.0451638004999315
2020,CYM,0.0450316075929249
2010,CYP,0.0
2011,CYP,0.0
2012,CYP,0.0
2013,CYP,0.0
2014,CYP,0.0
2015,CYP,0.0
2016,CYP,0.0
2017,CYP,0.0
2018,CYP,0.0
2019,CYP,0.0
2020,CYP,0.0
2010,CZE,0.0
2011,CZE,0.0
2012,CZE,0.0
2013,CZE,0.0
2014,CZE,0.0
2015,CZE,0.0
2016,CZE,0.0
2017,CZE,0.0
2018,CZE,0.0
2019,CZE,0.0
2020,CZE,0.0
2010,DEU,0.0454733405873501
2011,DEU,0.0465277932946997
2012,DEU,0.0372605064552097
2013,DEU,0.038120412570077
2014,DEU,0.040980461535543
2015,DEU,0.0713218676273078
2016,DEU,0.0734453819887387
2017,DEU,0.0768047039750056
2018,DEU,0.0369838057878408
2019,DEU,0.0366452310707563
2020,DEU,0.0363127992008053
2010,DJI,0.0
2011,DJI,0.0
2012,DJI,0.0
2013,DJI,0.0
2014,DJI,0.0
2015,DJI,0.0
2016,DJI,0.0
2017,DJI,0.0
2018,DJI,0.0
2019,DJI,0.0
2020,DJI,0.0
2010,DMA,0.0
2011,DMA,0.0
2012,DMA,0.0
2013,DMA,0.0
2014,DMA,0.0
2015,DMA,0.0
2016,DMA,0.0
2017,DMA,0.0
2018,DMA,0.0
2019,DMA,0.0
2020,DMA,0.0
2010,DNK,0.0
2011,DNK,0.0
2012,DNK,0.0
2013,DNK,0.0
2014,DNK,0.0
2015,DNK,0.0
2016,DNK,0.0
2017,DNK,0.0
2018,DNK,0.0
2019,DNK,0.0
2020,DNK,0.0
2010,DOM,0.1354811114719916
2011,DOM,0.1346533832368042
2012,DOM,0.1398532680436277
2013,DOM,0.139914525009237
2014,DOM,0.1357815374357421
2015,DOM,0.1271879395512013
2016,DOM,0.1252423846054511
2017,DOM,0.1264948886435769
2018,DOM,0.1314388020457339
2019,DOM,0.1263212589139164
2020,DOM,0.1215872826924752
2010,DZA,0.0578843184044069
2011,DZA,0.0579133190504961
2012,DZA,0.0605112177627404
2013,DZA,0.0608680500343885
2014,DZA,0.059364028894885
2015,DZA,0.0558603291375737
2016,DZA,0.0569039476954976
2017,DZA,0.0593480193192429
2018,DZA,0.0635735459443657
2019,DZA,0.0628907396694177
2020,DZA,0.0622224447818424
2010,ECU,0.0507736474605607
2011,ECU,0.0521461244528284
2012,ECU,0.0558318974976404
2013,ECU,0.0574582823863288
2014,ECU,0.0572511516223826
2015,ECU,0.054966861715992
2016,ECU,0.0567975557162461
2017,ECU,0.0600805502592391
2018,ECU,0.0652674130890211
2019,ECU,0.0654714563296103
2020,ECU,0.0656767793577091
2010,EGY,0.193304357680879
2011,EGY,0.1901405180101198
2012,EGY,0.1956694099322613
2013,EGY,0.1941448597627679
2014,EGY,0.1870138283583572
2015,EGY,0.1740023176820417
2016,EGY,0.170961768916735
2017,EGY,0.1723226184933078
2018,EGY,0.1787258135041831
2019,EGY,0.1714741117172815
2020,EGY,0.1647879318293454
2010,ERI,0.0
2011,ERI,0.0
2012,ERI,0.0
2013,ERI,0.0
2014,ERI,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2019,ERI,0.0
2020,ERI,0.0
2010,ESP,0.0768544180541698
2011,ESP,0.0631655309860025
2012,ESP,0.0543088324618709
2013,ESP,0.0253542361445436
2014,ESP,0.0250739398574144
2015,ESP,0.0254663873134839
2016,ESP,0.0245280480967106
2017,ESP,0.0157927614772554
2018,ESP,0.0142065092656616
2019,ESP,0.0140616394590839
2020,ESP,0.013919694425206
2010,EST,0.0001225436537972
2011,EST,0.0001174037958249
2012,EST,0.0001125967173931
2013,EST,0.0001080917466842
2014,EST,0.0001038626196824
2015,EST,9.988568688902916e-05
2016,EST,9.581359280314004e-05
2017,EST,9.199644112572548e-05
2018,EST,8.841185431401152e-05
2019,EST,8.589860727643638e-05
2020,EST,8.35242968048477e-05
2010,ETH,0.0
2011,ETH,0.0
2012,ETH,0.0
2013,ETH,0.0
2014,ETH,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2019,ETH,0.0
2020,ETH,0.0
2010,FIN,0.0
2011,FIN,0.0114356737953935
2012,FIN,0.0145323946195248
