,Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change
Origin State,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022
Mississippi,189.116,187.204,180.334,183.209,187.245,,"-1,01%","-3,67%","1,59%","2,20%",198.247,192.135,179.512,217.381,264.087,,"-3,08%","-6,57%","21,10%","21,49%",300.93,294.001,285.415,295.562,298.608,,"-2,30%","-2,92%","3,56%","1,03%",70.825,70.941,70.066,71.035,69.188,,"0,16%","-1,23%","1,38%","-2,60%"
Missouri,319.988,313.099,302.791,304.727,307.107,,"-2,15%","-3,29%","0,64%","0,78%",330.69,324.763,312.893,355.429,411.313,,"-1,79%","-3,65%","13,59%","15,72%",332.076,322.086,324.574,367.209,321.257,,"-3,01%","0,77%","13,14%","-12,51%",97.646,92.518,94.078,98.65,92.236,,"-5,25%","1,69%","4,86%","-6,50%"
Montana,51.056,53.146,50.496,51.541,52.532,,"4,09%","-4,99%","2,07%","1,92%",55.806,55.501,47.686,65.3,86.166,,"-0,55%","-14,08%","36,94%","31,96%",169.752,171.939,166.008,163.972,166.459,,"1,29%","-3,45%","-1,23%","1,52%",84.007,85.439,77.67,77.213,81.395,,"1,71%","-9,09%","-0,59%","5,42%"
Nebraska,152.007,149.38,145.042,144.913,139.242,,"-1,73%","-2,90%","-0,09%","-3,91%",155.878,152.36,146,177.651,200.515,,"-2,26%","-4,17%","21,68%","12,87%",348.073,341.918,329.033,324.06,293.053,,"-1,77%","-3,77%","-1,51%","-9,57%",96.636,93.486,89.335,89.425,80.453,,"-3,26%","-4,44%","0,10%","-10,03%"
Nevada,75.763,73.141,72.299,72.122,71.799,,"-3,46%","-1,15%","-0,24%","-0,45%",78.18,75.756,74.744,83.86,96.654,,"-3,10%","-1,34%","12,20%","15,26%",97.079,99.464,96.255,93.283,97.745,,"2,46%","-3,23%","-3,09%","4,78%",22.121,23.121,23.202,22.432,23.084,,"4,52%","0,35%","-3,32%","2,90%"
New Hampshire,60.187,59.372,56.677,58.172,58.633,,"-1,35%","-4,54%","2,64%","0,79%",63.056,61.793,57.972,67.663,80.887,,"-2,00%","-6,18%","16,72%","19,54%",56.757,56.189,54.099,52.121,57.34,,"-1,00%","-3,72%","-3,66%","10,01%",7.165,6.748,6.762,6.329,6.684,,"-5,82%","0,19%","-6,40%","5,61%"
New Jersey,666.18,658.859,634.839,671.338,676.523,,"-1,10%","-3,65%","5,75%","0,77%",688.984,683.282,651.95,767.11,876.234,,"-0,83%","-4,59%","17,66%","14,23%",361.299,359.205,341.069,358.679,353.211,,"-0,58%","-5,05%","5,16%","-1,52%",66.772,65.18,64.354,65.075,63.634,,"-2,38%","-1,27%","1,12%","-2,22%"
New Mexico,75.327,83.1,79.748,86.886,92.344,,"10,32%","-4,03%","8,95%","6,28%",80.979,85.822,75.542,103.906,140.351,,"5,98%","-11,98%","37,55%","35,07%",148.449,168.225,167.809,179.425,196.069,,"13,32%","-0,25%","6,92%","9,28%",56.746,65.387,65.722,71.224,78.605,,"15,23%","0,51%","8,37%","10,36%"
New York,838.123,812.171,812.212,824.862,833.182,,"-3,10%","0,00%","1,56%","1,01%",865.533,844.975,839.107,951.729,1.095.020,,"-2,38%","-0,69%","13,42%","15,06%",544.094,535.662,507.141,523.157,530.966,,"-1,55%","-5,32%","3,16%","1,49%",104.263,102.47,96.12,99.808,102.958,,"-1,72%","-6,20%","3,84%","3,16%"
North Carolina,490.945,488.497,462.451,471.934,474.179,,"-0,50%","-5,33%","2,05%","0,48%",507.161,509.36,482.651,547.485,620.759,,"0,43%","-5,24%","13,43%","13,38%",340.696,341.038,327.526,337.448,342.066,,"0,10%","-3,96%","3,03%","1,37%",72.371,71.683,68.454,69.299,70.046,,"-0,95%","-4,50%","1,23%","1,08%"
