"year","location_code","prodinit_ippu_electronics_tonne"
2010,"BGD",303694.346811955
2011,"BGD",246735.858704412
2012,"BGD",219265.574326555
2013,"BGD",245246.388021647
2014,"BGD",380181.866103814
2015,"BGD",364788.330624954
2016,"BGD",590768.965584524
2017,"BGD",675552.370260589
2018,"BGD",660053.608273967
2019,"BGD",614561.295160068
2020,"BGD",682537.595740416
2010,"BGR",220604.236665857
2011,"BGR",239897.535353026
2012,"BGR",236447.643320982
2013,"BGR",240188.553109207
2014,"BGR",268083.693431175
2015,"BGR",248724.165440053
2016,"BGR",263519.022475554
2017,"BGR",272225.408194254
2018,"BGR",329233.461004019
2019,"BGR",356467.76514176
2020,"BGR",365456.672021972
2010,"BHR",56678.6750956322
2011,"BHR",33150.8496074816
2012,"BHR",40958.8404264247
2013,"BHR",32250.2715930206
2014,"BHR",35254.6564747877
2015,"BHR",41248.1409178723
2016,"BHR",38870.6073518295
2017,"BHR",53812.1663350006
2018,"BHR",58947.1021819533
2019,"BHR",58970.725978927
2020,"BHR",66960.4409024417
2010,"BHS",8256.32047291559
2011,"BHS",11447.1267291537
2012,"BHS",14877.3083950545
2013,"BHS",14375.9410079217
2014,"BHS",14356.561432465
2015,"BHS",19927.0718810762
2016,"BHS",20413.4929630807
2017,"BHS",19003.4532727264
2018,"BHS",19423.2236256465
2019,"BHS",19846.3915590374
2020,"BHS",18478.7719035869
2010,"BIH",43287.3688581173
2011,"BIH",45479.2739930239
2012,"BIH",43286.5763329801
2013,"BIH",48991.9767686158
2014,"BIH",55431.8274946879
2015,"BIH",48586.0487839359
2016,"BIH",50899.0561518569
2017,"BIH",55424.8886644839
2018,"BIH",63048.8196239484
2019,"BIH",71195.5548518064
2020,"BIH",78138.2987299814
2010,"BLR",94336.1410023923
2011,"BLR",73976.3808370044
2012,"BLR",123086.852937622
2013,"BLR",154261.562038418
2014,"BLR",146323.206163237
2015,"BLR",96495.4809971609
2016,"BLR",105787.67940905
2017,"BLR",115764.926739787
2018,"BLR",130803.596879596
2019,"BLR",146907.157081568
2020,"BLR",145624.645868193
2010,"BLZ",2101.61510721021
2011,"BLZ",2014.08656656806
2012,"BLZ",2468.40293674883
2013,"BLZ",2826.43099900083
2014,"BLZ",3277.16335650552
2015,"BLZ",3122.23139334638
2016,"BLZ",3416.45901048688
2017,"BLZ",2654.60699095232
2018,"BLZ",2621.6705745016
2019,"BLZ",2239.9025079677
2020,"BLZ",1975.22334903695
2010,"BMU",10322.9650874551
2011,"BMU",7952.45966453279
2012,"BMU",9866.56854507952
2013,"BMU",6424.43027353778
2014,"BMU",6592.79387375792
2015,"BMU",6867.78486296566
2016,"BMU",7571.17852892197
2017,"BMU",7855.31324084694
2018,"BMU",7648.19332944017
2019,"BMU",8810.875740759
2020,"BMU",6904.5820217675
2010,"BOL",31623.255413284
2011,"BOL",41576.4586669242
2012,"BOL",42957.2149875255
2013,"BOL",59698.1652864706
2014,"BOL",57696.52189282
2015,"BOL",58695.5478610475
2016,"BOL",58687.4070896669
2017,"BOL",62126.7451420149
2018,"BOL",65106.5310961006
2019,"BOL",64544.8782126689
2020,"BOL",43572.5051110885
2010,"BRA",6692614.57130269
2011,"BRA",7417391.80923542
2012,"BRA",6914565.87101506
2013,"BRA",7198637.7461866
2014,"BRA",6739657.78014321
2015,"BRA",4892373.59589412
2016,"BRA",5104573.01584478
2017,"BRA",6304736.37795732
2018,"BRA",5282174.77579038
2019,"BRA",5259228.76034461
2020,"BRA",4452377.76167403
2010,"BRB",6846.59917976755
2011,"BRB",7708.77386088297
2012,"BRB",6675.58636066534
2013,"BRB",7067.8418073615
2014,"BRB",7977.2524879893
2015,"BRB",7668.55270267055
2016,"BRB",7442.25758035772
2017,"BRB",7345.04497257102
2018,"BRB",6711.14098819346
2019,"BRB",7112.99532927467
2020,"BRB",9261.96537937329
2010,"BRN",22030.205630018
2011,"BRN",29812.8546988717
2012,"BRN",29762.5065042715
2013,"BRN",33997.3303508741
2014,"BRN",36443.2063123301
2015,"BRN",24756.8404716671
2016,"BRN",19552.1251770092
2017,"BRN",17608.116468
2018,"BRN",21670.8833767476
2019,"BRN",12827.30036943
2020,"BRN",11986.603886992
2010,"BTN",1243.99894146154
2011,"BTN",1610.17266976523
2012,"BTN",1537.67215863636
2013,"BTN",1525.73331875307
2014,"BTN",717.051149746892
2015,"BTN",1626.73773935051
2016,"BTN",1983.93442126704
2017,"BTN",3591.17254976799
2018,"BTN",3990.66382382452
2019,"BTN",4904.0984016793
2020,"BTN",4824.8361001122
2010,"BWA",25799.6602780997
2011,"BWA",37077.4746057031
2012,"BWA",21954.9433189887
2013,"BWA",17409.8562373763
2014,"BWA",23696.497575045
2015,"BWA",25655.8431889097
2016,"BWA",30283.5114378916
2017,"BWA",40836.3636308993
2018,"BWA",37203.4640575934
2019,"BWA",38811.3397423992
2020,"BWA",27711.6564701032
2010,"CAF",2647.45935070596
2011,"CAF",2508.26983692887
2012,"CAF",3101.77495727277
2013,"CAF",1740.48771880192
2014,"CAF",2429.51610252095
2015,"CAF",3117.54029583735
2016,"CAF",2442.38025383264
2017,"CAF",2730.4859410007
2018,"CAF",3432.52161205862
2019,"CAF",2523.47563578337
2020,"CAF",3673.20594870915
2010,"CAN",5590037.96494283
2011,"CAN",5814471.08880318
2012,"CAN",5853366.6618873
2013,"CAN",5832475.46552308
2014,"CAN",5673370.74572842
2015,"CAN",5162478.02762791
2016,"CAN",5029579.30746284
2017,"CAN",5031561.44077094
2018,"CAN",5252657.4446873
2019,"CAN",5420927.43075215
2020,"CAN",4882804.3024923
2010,"CHE",1291504.36791861
2011,"CHE",1374024.46044392
2012,"CHE",1306344.04042081
2013,"CHE",1252313.07947168
2014,"CHE",1410511.18045341
2015,"CHE",1312280.68985727
2016,"CHE",1230138.1496493
2017,"CHE",1207637.9669938
2018,"CHE",1266094.4294775
2019,"CHE",1283572.12972489
2020,"CHE",1208384.03701571
2010,"CHL",448866.885514886
2011,"CHL",504254.146828605
2012,"CHL",565601.651533352
2013,"CHL",620674.023792331
2014,"CHL",578229.706707901
2015,"CHL",666995.919873454
2016,"CHL",701526.807424643
2017,"CHL",686496.883267377
2018,"CHL",657555.933725723
2019,"CHL",662103.061994134
2020,"CHL",744216.813740816
2010,"CHN",72477197.4010643
2011,"CHN",82180970.0843959
2012,"CHN",93151236.1253457
2013,"CHN",107972463.087583
2014,"CHN",116382472.010504
2015,"CHN",134514582.091415
2016,"CHN",140779205.9137
2017,"CHN",149228255.143293
2018,"CHN",164410898.446338
2019,"CHN",172986814.144018
2020,"CHN",180892780.9847
2010,"CIV",35298.7909659048
2011,"CIV",41155.245719274
2012,"CIV",45964.2820718066
2013,"CIV",57048.4244527649
2014,"CIV",73619.6453084427
2015,"CIV",69189.2442332975
2016,"CIV",74725.2697364279
2017,"CIV",88071.3703085824
2018,"CIV",83836.9140519151
2019,"CIV",100027.388262581
2020,"CIV",107233.428682907
2010,"CMR",36860.0050998141
2011,"CMR",50470.6292333072
2012,"CMR",47107.7155091736
2013,"CMR",64454.1091380697
2014,"CMR",74367.8673966459
2015,"CMR",64787.3623355568
2016,"CMR",84287.8733479295
2017,"CMR",69484.2162820907
2018,"CMR",89176.6102210393
2019,"CMR",69416.5307203228
2020,"CMR",86921.8546198729
2010,"COD",15135.6798856251
2011,"COD",33930.1583496525
2012,"COD",46923.5204523099
2013,"COD",40708.3459463665
2014,"COD",44181.5815348993
2015,"COD",56298.3600775287
2016,"COD",42424.4913750514
2017,"COD",33063.0736111344
2018,"COD",46941.8235389685
2019,"COD",77116.061157206
2020,"COD",62089.1672743072
2010,"COG",16876.4346979261
2011,"COG",21519.0969470598
2012,"COG",26565.9325762384
2013,"COG",28239.6024514914
2014,"COG",25069.0861683421
2015,"COG",17612.7975972654
2016,"COG",10362.4159941883
2017,"COG",12836.5071102415
2018,"COG",10832.8426189165
2019,"COG",10615.5591448963
2020,"COG",12239.7539919996
2010,"COL",721721.721673284
2011,"COL",722648.239077855
2012,"COL",855167.93680118
2013,"COL",927073.549826364
2014,"COL",950111.143787786
2015,"COL",779565.851352044
2016,"COL",675626.351404897
2017,"COL",760297.17393572
2018,"COL",824366.235187944
2019,"COL",854868.982061759
2020,"COL",755604.890628057
2010,"COM",1607.58598001857
2011,"COM",768.193769039246
2012,"COM",1080.03478227902
2013,"COM",2072.22175372691
2014,"COM",1438.7709162759
2015,"COM",1899.61788483752
2016,"COM",3320.40996687509
2017,"COM",1909.66781289354
2018,"COM",2454.61848569614
2019,"COM",3144.22398643561
2020,"COM",1747.86010073647
2010,"CPV",4206.52667844032
2011,"CPV",5021.36721028634
2012,"CPV",3120.7622624497
2013,"CPV",3204.63408112935
2014,"CPV",4607.32425265739
2015,"CPV",2365.4831956743
2016,"CPV",3154.44389548496
2017,"CPV",2802.64363030136
2018,"CPV",3015.87030991618
2019,"CPV",2528.9736055991
2020,"CPV",2783.71477164526
2010,"CRI",1020866.99318956
2011,"CRI",1548588.95530926
2012,"CRI",2002074.62052759
2013,"CRI",2156749.4118644
2014,"CRI",1781450.64518676
2015,"CRI",374272.456707285
2016,"CRI",323395.116624136
2017,"CRI",274861.383079098
2018,"CRI",252767.436903689
2019,"CRI",252721.226218507
2020,"CRI",341278.456469139
2010,"CUB",73065.9872699663
2011,"CUB",67489.7857184703
2012,"CUB",80364.4960989867
2013,"CUB",90031.2817606979
2014,"CUB",89822.5322499725
2015,"CUB",143817.836900742
2016,"CUB",167425.475502547
2017,"CUB",160029.553614816
2018,"CUB",123128.222745551
2019,"CUB",149773.402020128
2020,"CUB",134650.006696692
2010,"CUW",3559.15392401202
2011,"CUW",4296.93774534175
2012,"CUW",3690.93819565976
2013,"CUW",2985.67007166455
2014,"CUW",3944.32968180796
2015,"CUW",3672.64535676034
2016,"CUW",3028.80584536752
2017,"CUW",3294.75057148224
2018,"CUW",3559.15392401202
2019,"CUW",3559.15392401202
2020,"CUW",3559.15392401202
2010,"CYM",4289.13287765618
2011,"CYM",4289.13287765618
2012,"CYM",4289.13287765618
2013,"CYM",4289.13287765618
2014,"CYM",4289.13287765618
2015,"CYM",4289.13287765618
2016,"CYM",4289.13287765618
2017,"CYM",4044.67776676249
2018,"CYM",4694.32386729039
2019,"CYM",4265.08541128955
2020,"CYM",4152.44446528231
2010,"CYP",76505.6804432352
2011,"CYP",84931.4032485784
2012,"CYP",86278.7896697978
2013,"CYP",74588.1080398283
2014,"CYP",56438.1997778497
2015,"CYP",45359.6746025415
2016,"CYP",42118.1615368195
2017,"CYP",38324.4504734712
2018,"CYP",40251.3264204321
2019,"CYP",40132.5727265256
2020,"CYP",30076.8096323159
2010,"CZE",1928544.92395781
2011,"CZE",2026006.98025653
2012,"CZE",1841303.15103333
2013,"CZE",1958020.45586335
2014,"CZE",1942234.28040159
2015,"CZE",1820735.6590146
2016,"CZE",1960747.06349978
2017,"CZE",2175551.64973794
2018,"CZE",2613902.13928103
2019,"CZE",2776655.69030112
2020,"CZE",2846679.08934564
2010,"DEU",19317741.983976
2011,"DEU",19884298.6305996
2012,"DEU",18357323.2488048
2013,"DEU",19118014.7912063
2014,"DEU",20459890.4804431
2015,"DEU",18317948.5195033
2016,"DEU",19471266.4816626
2017,"DEU",19734617.5156685
2018,"DEU",21150355.1831972
2019,"DEU",21038035.7076822
2020,"DEU",21246606.3956169
2010,"DJI",6372.31879233462
2011,"DJI",6372.31879233462
2012,"DJI",6372.31879233462
2013,"DJI",2395.9282859332
2014,"DJI",4682.13881462844
2015,"DJI",8032.56646661553
2016,"DJI",8327.79926136524
2017,"DJI",6707.96675756528
2018,"DJI",6443.47826950427
2019,"DJI",6219.59960252523
2020,"DJI",8169.07288053974
2010,"DMA",1764.71418589314
2011,"DMA",1633.79123195945
2012,"DMA",1824.57009779019
2013,"DMA",1327.44549544857
2014,"DMA",1403.17094894496
2015,"DMA",1153.22101795188
2016,"DMA",1351.69918818369
2017,"DMA",1150.61118331222
2018,"DMA",1612.14487327135
2019,"DMA",1469.04091363949
2020,"DMA",1469.04091363949
2010,"DNK",1105156.75398839
2011,"DNK",1098727.55137834
2012,"DNK",1029946.76471804
2013,"DNK",1064717.2646598
2014,"DNK",1142434.4329437
2015,"DNK",968710.180680011
2016,"DNK",1074514.56099456
2017,"DNK",1016347.08004206
2018,"DNK",1035070.36049578
2019,"DNK",1033148.37506766
2020,"DNK",1028675.47495125
2010,"DOM",178860.992903055
2011,"DOM",194262.86753239
2012,"DOM",190311.128726634
2013,"DOM",179328.499749617
2014,"DOM",196456.965432363
2015,"DOM",213269.959730345
2016,"DOM",243307.677450407
2017,"DOM",248364.690415284
2018,"DOM",304033.027738509
2019,"DOM",337324.805659277
2020,"DOM",335571.029555977
2010,"DZA",262026.30753967
2011,"DZA",337824.208407564
2012,"DZA",346860.348872105
2013,"DZA",379478.804991322
2014,"DZA",482620.170749545
2015,"DZA",371081.350231839
2016,"DZA",371920.675674134
2017,"DZA",292595.538649188
2018,"DZA",314018.057704648
2019,"DZA",323696.693431625
2020,"DZA",247231.879659359
2010,"ECU",152452.021422238
2011,"ECU",160263.005584811
2012,"ECU",213446.870553063
2013,"ECU",210245.457117717
2014,"ECU",219894.81564194
2015,"ECU",239717.501040869
2016,"ECU",241472.131523638
2017,"ECU",228084.76129832
2018,"ECU",201777.556029345
2019,"ECU",207193.494628157
2020,"ECU",193163.799825183
2010,"EGY",561589.854550309
2011,"EGY",619361.986038167
2012,"EGY",734526.497422179
2013,"EGY",745757.489860717
2014,"EGY",1023052.1138254
2015,"EGY",1144669.5935264
2016,"EGY",1287369.53771877
2017,"EGY",946247.817404487
2018,"EGY",988487.534363208
2019,"EGY",1147167.12806304
2020,"EGY",1216067.7642415
2010,"ERI",2114.10961260636
2011,"ERI",3788.42350673141
2012,"ERI",2951.26655966888
2013,"ERI",2951.26655966888
2014,"ERI",2951.26655966888
2015,"ERI",2951.26655966888
2016,"ERI",2951.26655966888
2017,"ERI",2951.26655966888
2018,"ERI",2951.26655966888
2019,"ERI",2951.26655966888
2020,"ERI",2951.26655966888
2010,"ESP",4995544.88416511
2011,"ESP",4689048.02301347
2012,"ESP",3996753.4351055
2013,"ESP",3997576.4186638
2014,"ESP",4271350.7766431
2015,"ESP",4067518.96596185
2016,"ESP",4139656.77566841
2017,"ESP",4054084.46774992
2018,"ESP",4548599.04851028
2019,"ESP",4638476.6299559
2020,"ESP",4657456.47980655
2010,"EST",174612.195998452
2011,"EST",262806.901666498
2012,"EST",235731.00558099
2013,"EST",245674.85874412
2014,"EST",300649.635424305
2015,"EST",243578.770242406
2016,"EST",265683.847621388
2017,"EST",224590.604592843
2018,"EST",236663.730961126
2019,"EST",211831.542246957
2020,"EST",213830.408450526
2010,"ETH",116601.754600713
2011,"ETH",39804.3320562615
2012,"ETH",71404.7695065573
2013,"ETH",66012.1250505192
2014,"ETH",147068.808754014
2015,"ETH",147184.362482024
2016,"ETH",130225.820244903
2017,"ETH",133856.02256529
2018,"ETH",110763.61427547
2019,"ETH",173106.335652464
2020,"ETH",146591.355419623
2010,"FIN",1409814.17844161
2011,"FIN",1450415.25084881
2012,"FIN",1259261.80082145
2013,"FIN",1143606.23341059
2014,"FIN",1214899.59410059
2015,"FIN",1022398.05050699
2016,"FIN",994324.827320989
2017,"FIN",1009008.09847423
2018,"FIN",1028688.53166867
2019,"FIN",995161.730763066
2020,"FIN",995873.400186134
2010,"FJI",3652.13193171853
2011,"FJI",4832.67725334354
2012,"FJI",5197.11708276038
2013,"FJI",5635.95699751867
2014,"FJI",12154.0747962465
2015,"FJI",7339.20564531533
2016,"FJI",11185.3067645823
2017,"FJI",11467.5373637089
2018,"FJI",11291.7280462962
2019,"FJI",8566.98314014519
2020,"FJI",9383.8877548025
2010,"FRA",10895523.1769141
2011,"FRA",11378584.5128016
2012,"FRA",10268005.5217587
2013,"FRA",10339566.3876696
2014,"FRA",10212951.8544157
2015,"FRA",9000512.96128769
2016,"FRA",9080373.71054445
2017,"FRA",9138987.9982296
2018,"FRA",9472384.32133755
2019,"FRA",9519845.24775176
2020,"FRA",9259534.1612813
2010,"FRO",2042.09641382574
2011,"FRO",2398.87972099204
2012,"FRO",3021.73136205985
2013,"FRO",2167.58350409581
2014,"FRO",3779.71433928821
2015,"FRO",3100.34154320957
2016,"FRO",3213.27638764271
2017,"FRO",3119.56957012973
2018,"FRO",3456.61910850597
2019,"FRO",3278.27808790369
2020,"FRO",4060.37564180845
2010,"FSM",211.228014183655
2011,"FSM",310.430345842237
2012,"FSM",312.833126002071
2013,"FSM",380.370189163243
2014,"FSM",440.378570851117
2015,"FSM",403.829089879635
2016,"FSM",400.565094443348
2017,"FSM",431.090332941976
2018,"FSM",416.328159674071
2019,"FSM",551.271906042269
2020,"FSM",802.789807621282
2010,"GAB",21957.2897322705
2011,"GAB",31487.2997582738
2012,"GAB",27147.9960326384
2013,"GAB",27868.8463651566
2014,"GAB",29824.4139524833
2015,"GAB",22797.6155032096
2016,"GAB",22945.7952991804
2017,"GAB",21287.8891372123
2018,"GAB",22919.6115218548
2019,"GAB",27816.4546714437
2020,"GAB",22679.3944592035
2010,"GBR",8797093.68625111
2011,"GBR",8832205.23677497
2012,"GBR",8422405.15987549
2013,"GBR",8612763.60466394
2014,"GBR",9586265.29649
2015,"GBR",9426578.99077957
2016,"GBR",8529249.12492862
2017,"GBR",8087130.10553441
2018,"GBR",8336875.22190078
2019,"GBR",8529108.20932003
2020,"GBR",8215608.14819661
2010,"GEO",22011.2533293171
2011,"GEO",39516.5215983216
2012,"GEO",36653.2283586512
2013,"GEO",32695.5699690017
2014,"GEO",36778.8185972942
2015,"GEO",31661.7107577773
2016,"GEO",31609.0166466501
2017,"GEO",37303.8632916078
2018,"GEO",34723.1369657484
2019,"GEO",33431.1186690931
2020,"GEO",29974.179090005
2010,"GHA",60052.7867543707
2011,"GHA",81425.1447793847
2012,"GHA",83035.2470613747
2013,"GHA",101827.84403339
2014,"GHA",104093.556960528
2015,"GHA",110390.2508218
2016,"GHA",120165.410311783
2017,"GHA",105554.047006874
2018,"GHA",96349.0538663522
2019,"GHA",82040.3093193231
2020,"GHA",182329.519594333
2010,"GIN",9294.30856053845
2011,"GIN",11405.5934114798
2012,"GIN",15900.2591032038
2013,"GIN",14336.8486463545
2014,"GIN",19921.7015860702
2015,"GIN",22670.327365404
2016,"GIN",9654.95178534493
2017,"GIN",14567.1306159108
2018,"GIN",20605.029682347
2019,"GIN",27602.0899145181
2020,"GIN",17359.9955842632
2010,"GMB",4331.36415716223
2011,"GMB",7004.28330013406
2012,"GMB",5386.73962746919
2013,"GMB",5418.79315930968
2014,"GMB",5700.72088115963
2015,"GMB",4262.56189510378
2016,"GMB",5454.96171882313
2017,"GMB",4991.32328253098
2018,"GMB",4261.40304983225
2019,"GMB",5906.63679551139
2020,"GMB",4345.0196840889
2010,"GNB",917.218429871064
2011,"GNB",2396.86442632853
2012,"GNB",2505.81461939235
2013,"GNB",1594.50966704442
2014,"GNB",2235.520227261
2015,"GNB",1706.20816396899
2016,"GNB",2514.33281599017
2017,"GNB",1812.94780190615
2018,"GNB",1798.78011570976
2019,"GNB",1690.21076526655
2020,"GNB",1996.02319050952
2010,"GNQ",15316.6221115312
2011,"GNQ",17418.9923299953
2012,"GNQ",15377.9688969526
2013,"GNQ",19832.7627612587
2014,"GNQ",14760.8355556248
2015,"GNQ",11939.7086691297
2016,"GNQ",6016.56062993175
2017,"GNQ",5106.40923614042
2018,"GNQ",6210.29076568409
2019,"GNQ",5575.4770932623
2020,"GNQ",3417.66441314116
2010,"GRC",584927.229774824
2011,"GRC",601633.191250021
2012,"GRC",536157.837506977
2013,"GRC",437586.93661951
2014,"GRC",407863.018231462
2015,"GRC",369956.276914992
2016,"GRC",382597.953680623
2017,"GRC",345582.709931959
2018,"GRC",354895.772558716
2019,"GRC",366016.480240433
2020,"GRC",413111.858185895
2010,"GRL",2353.91686253793
2011,"GRL",2182.07539576604
2012,"GRL",2652.07191139967
2013,"GRL",2622.0738839226
2014,"GRL",2751.15190377761
2015,"GRL",2424.70538302964
2016,"GRL",2529.47508488998
2017,"GRL",3444.05476599351
2018,"GRL",3039.77190473996
2019,"GRL",2522.86235996394
2020,"GRL",2430.64168220272
2010,"GTM",94416.9765436622
2011,"GTM",91614.920077127
2012,"GTM",100306.757408757
2013,"GTM",111434.752875312
2014,"GTM",122169.941577501
2015,"GTM",137967.009206523
2016,"GTM",127934.718562797
2017,"GTM",154163.355011148
2018,"GTM",145864.969034737
2019,"GTM",160548.976247616
2020,"GTM",170344.572126145
2010,"GUM",820.238307640114
2011,"GUM",922.873391837239
2012,"GUM",1025.83557664888
2013,"GUM",1232.09763612836
2014,"GUM",703.028957258521
2015,"GUM",888.084311859047
2016,"GUM",1105.07051955855
2017,"GUM",1541.36736921803
2018,"GUM",1839.47669401651
2019,"GUM",4438.80260135915
2020,"GUM",1195.50097539676
2010,"HKG",3450045.29198175
2011,"HKG",3681416.18261204
2012,"HKG",3941121.17334269
2013,"HKG",4407673.57300442
2014,"HKG",4491254.56347554
2015,"HKG",5277189.79350589
2016,"HKG",5256235.35401287
2017,"HKG",5262621.77726879
2018,"HKG",5842066.5859473
2019,"HKG",6081421.31671969
2020,"HKG",5880262.53090927
2010,"HND",56395.5720177768
2011,"HND",63410.0426973485
2012,"HND",72238.7971371569
2013,"HND",90138.003115277
2014,"HND",89695.0775501913
2015,"HND",101881.150923917
2016,"HND",92683.8919094084
2017,"HND",89260.1711158246
2018,"HND",91125.5823798098
2019,"HND",90115.9977387007
2020,"HND",92237.8758416919
2010,"HRV",210996.360008093
2011,"HRV",199822.47479306
2012,"HRV",186291.959027225
2013,"HRV",197382.835053514
2014,"HRV",189248.101224899
2015,"HRV",175989.268664085
2016,"HRV",187823.742750237
2017,"HRV",182979.905433458
2018,"HRV",199970.251084967
2019,"HRV",201810.112079718
2020,"HRV",227570.142194925
2010,"HTI",20204.4266779663
2011,"HTI",33393.6565457158
2012,"HTI",19619.0937544681
2013,"HTI",22290.63109232
2014,"HTI",18817.088746146
2015,"HTI",16301.1313174783
2016,"HTI",13566.8361160166
2017,"HTI",15521.2912239599
2018,"HTI",14877.5362789593
2019,"HTI",14253.2383634124
2020,"HTI",23844.0922017533
2010,"HUN",1961502.74860558
2011,"HUN",1900028.70539517
2012,"HUN",1611725.15312141
2013,"HUN",1594606.26718391
2014,"HUN",1523225.17736582
2015,"HUN",1390021.71977584
2016,"HUN",1484621.03664353
2017,"HUN",1557600.19614269
2018,"HUN",1778539.27515074
