"year","location_code","prodinit_ippu_chemicals_tonne"
2018,"BWA",23992.5175592181
2019,"BWA",25456.4963647025
2020,"BWA",24789.6131278845
2010,"CAF",1993.90384980272
2011,"CAF",2787.65383904037
2012,"CAF",2781.90229529399
2013,"CAF",928.611037044405
2014,"CAF",599.902304072503
2015,"CAF",801.417385377805
2016,"CAF",634.372010856768
2017,"CAF",579.118595871235
2018,"CAF",761.121245155779
2019,"CAF",661.220410586386
2020,"CAF",4424.99750024633
2010,"CAN",9311843.21077194
2011,"CAN",9860575.82247283
2012,"CAN",9394590.0648481
2013,"CAN",9924212.90772686
2014,"CAN",9488484.7284891
2015,"CAN",9756894.60156892
2016,"CAN",8773402.03504981
2017,"CAN",9013198.97149959
2018,"CAN",9204330.32760816
2019,"CAN",9466432.59208354
2020,"CAN",9562838.39671796
2010,"CHE",4612401.75668308
2011,"CHE",4465708.73013305
2012,"CHE",4931166.15178366
2013,"CHE",4906018.76476221
2014,"CHE",5945873.5160437
2015,"CHE",6048213.58143157
2016,"CHE",6559160.75233664
2017,"CHE",6507001.88961674
2018,"CHE",6085694.62515773
2019,"CHE",6156856.70728235
2020,"CHE",6602898.33430664
2010,"CHL",1189132.8833831
2011,"CHL",1302442.87338348
2012,"CHL",1662837.3993685
2013,"CHL",1560589.56866708
2014,"CHL",1488490.15042484
2015,"CHL",1715363.78769978
2016,"CHL",1809594.04616983
2017,"CHL",2050466.00805584
2018,"CHL",2070857.60296403
2019,"CHL",2170375.02054607
2020,"CHL",1856357.95971313
2010,"CHN",44955043.9397673
2011,"CHN",51727976.2005691
2012,"CHN",54314021.7527761
2013,"CHN",61123799.3490908
2014,"CHN",68255072.85885
2015,"CHN",78585476.1435419
2016,"CHN",81199381.0257441
2017,"CHN",91406749.6839461
2018,"CHN",101256459.662841
2019,"CHN",101358188.183344
2020,"CHN",96077150.0060365
2010,"CIV",89401.4896503718
2011,"CIV",81375.7948296827
2012,"CIV",83034.5075864273
2013,"CIV",139911.046916159
2014,"CIV",146805.064962624
2015,"CIV",158706.342832282
2016,"CIV",163415.353686687
2017,"CIV",165716.15923843
2018,"CIV",162289.801257731
2019,"CIV",202186.400642507
2020,"CIV",176380.804321102
2010,"CMR",75981.808418796
2011,"CMR",84567.5313662216
2012,"CMR",76012.4130493084
2013,"CMR",82542.69518099
2014,"CMR",92786.1964802636
2015,"CMR",110487.158290478
2016,"CMR",100304.815912727
2017,"CMR",126019.364449855
2018,"CMR",118726.090017319
2019,"CMR",58024.9849624194
2020,"CMR",76356.98437434
2010,"COD",69036.2917678665
2011,"COD",82345.714691073
2012,"COD",102072.586244842
2013,"COD",164601.881202681
2014,"COD",121456.735735246
2015,"COD",263281.815858313
2016,"COD",213891.304967805
2017,"COD",322224.029372669
2018,"COD",628857.791681669
2019,"COD",394282.006595206
2020,"COD",669679.535284508
2010,"COG",6256.47826490092
2011,"COG",7563.5543289612
2012,"COG",10007.4908879681
2013,"COG",8651.99381291886
2014,"COG",9920.84289119582
2015,"COG",6022.17576624473
2016,"COG",4035.24099786626
2017,"COG",9214.5379569756
2018,"COG",9303.10580354815
2019,"COG",8272.13833268753
2020,"COG",7537.41969678086
2010,"COL",1680871.5676113
2011,"COL",1663583.11100851
2012,"COL",1797326.25335983
2013,"COL",1796253.75397039
2014,"COL",1909796.27491068
2015,"COL",1821270.34506842
2016,"COL",1794399.78037111
2017,"COL",1951613.44684265
2018,"COL",1944949.30753022
2019,"COL",1760487.89625172
2020,"COL",1749365.73264072
2010,"COM",118.356055453304
2011,"COM",217.893219665889
2012,"COM",478.148392353317
2013,"COM",289.940301806297
2014,"COM",231.360807685369
2015,"COM",219.612077970266
2016,"COM",3331.55798720777
2017,"COM",254.912132762568
2018,"COM",235.638319110149
2019,"COM",269.066065505474
2020,"COM",396.514723434851
2010,"CPV",5205.48400998978
2011,"CPV",8462.6591908207
2012,"CPV",4947.38419719608
2013,"CPV",8407.59376725838
2014,"CPV",723.434345459948
2015,"CPV",1194.13053991048
2016,"CPV",777.771950038659
2017,"CPV",990.059857549841
2018,"CPV",919.874526672418
2019,"CPV",923.683754161535
2020,"CPV",1008.1585265909
2010,"CRI",122163.167347718
2011,"CRI",136854.522003442
2012,"CRI",141893.522324305
2013,"CRI",141615.882295032
2014,"CRI",147843.396720386
2015,"CRI",168315.742466078
2016,"CRI",161357.051248769
2017,"CRI",177195.393132506
2018,"CRI",163841.954758891
2019,"CRI",165493.036178719
2020,"CRI",177589.058037976
2010,"CUB",158998.269918917
2011,"CUB",138923.568378441
2012,"CUB",146310.655344888
2013,"CUB",162265.885137576
2014,"CUB",152856.297611311
2015,"CUB",211921.123737626
2016,"CUB",175051.776765389
2017,"CUB",194681.590167465
2018,"CUB",180282.283399018
2019,"CUB",149156.512168826
2020,"CUB",173916.059158507
2010,"CUW",4107.01899112719
2011,"CUW",2775.37547726589
2012,"CUW",2522.49548801723
2013,"CUW",3053.6031108205
2014,"CUW",3677.13768353877
2015,"CUW",5764.40890090375
2016,"CUW",6528.11599584984
2017,"CUW",4427.99628149431
2018,"CUW",4107.01899112719
2019,"CUW",4107.01899112719
2020,"CUW",4107.01899112719
2010,"CYM",835.818091281637
2011,"CYM",835.818091281637
2012,"CYM",835.818091281637
2013,"CYM",835.818091281637
2014,"CYM",835.818091281637
2015,"CYM",835.818091281637
2016,"CYM",835.818091281637
2017,"CYM",626.662007346784
2018,"CYM",813.907412037735
2019,"CYM",478.024759349741
2020,"CYM",1424.67818639229
2010,"CYP",64123.0438250764
2011,"CYP",75741.811919304
2012,"CYP",72134.6705262792
2013,"CYP",64276.5987567949
2014,"CYP",52355.9759558847
2015,"CYP",51278.8720498863
2016,"CYP",50379.5664052109
2017,"CYP",40935.9790947384
2018,"CYP",42783.8432238111
2019,"CYP",54832.4675528891
2020,"CYP",37834.920474282
2010,"CZE",644209.207603373
2011,"CZE",720294.220120464
2012,"CZE",658169.584891437
2013,"CZE",698467.15748737
2014,"CZE",679846.311967532
2015,"CZE",624332.835866029
2016,"CZE",645807.043172345
2017,"CZE",697507.127711472
2018,"CZE",770005.657416811
2019,"CZE",782353.3614367
2020,"CZE",729227.115802705
2010,"DEU",21352469.4753591
2011,"DEU",20953275.3142865
2012,"DEU",20959061.9695267
2013,"DEU",21672867.6918339
2014,"DEU",23354195.5400043
2015,"DEU",21556527.2403355
2016,"DEU",23077009.3949017
2017,"DEU",23976122.1091616
2018,"DEU",25567479.7680687
2019,"DEU",25748148.6037674
2020,"DEU",26812486.0513516
2010,"DJI",19540.2649824616
2011,"DJI",19540.2649824616
2012,"DJI",19540.2649824616
2013,"DJI",8566.1616255699
2014,"DJI",11507.3387169115
2015,"DJI",13504.0402089242
2016,"DJI",20477.152433806
2017,"DJI",9627.88939583781
2018,"DJI",16026.4323695516
2019,"DJI",29918.0733570034
2020,"DJI",46695.0317520886
2010,"DMA",1024.17842125712
2011,"DMA",904.569792853414
2012,"DMA",882.28076942182
2013,"DMA",1236.08178517103
2014,"DMA",941.693236634084
2015,"DMA",623.570189579605
2016,"DMA",1036.93364202267
2017,"DMA",499.150264394912
2018,"DMA",955.01026356772
2019,"DMA",900.385373878041
2020,"DMA",900.385373878041
2010,"DNK",723226.231321902
2011,"DNK",652142.516549925
2012,"DNK",656456.357892059
2013,"DNK",745244.539482382
2014,"DNK",825586.580740399
2015,"DNK",836004.674734817
2016,"DNK",912619.604479082
2017,"DNK",926453.315349285
2018,"DNK",921907.449660682
2019,"DNK",993761.905614185
2020,"DNK",1211057.02603117
2010,"DOM",141790.539755417
2011,"DOM",134122.798645468
2012,"DOM",133014.774575557
2013,"DOM",141360.503952188
2014,"DOM",168245.797264751
2015,"DOM",178948.375716022
2016,"DOM",177754.925772729
2017,"DOM",180314.442487874
2018,"DOM",230718.134473586
2019,"DOM",236094.868192736
2020,"DOM",204269.118490759
2010,"DZA",352735.554760818
2011,"DZA",396365.86971998
2012,"DZA",494173.962480973
2013,"DZA",432481.853904292
2014,"DZA",731826.824471258
2015,"DZA",949041.613209139
2016,"DZA",880050.529094352
2017,"DZA",786111.737324605
2018,"DZA",924386.25460641
2019,"DZA",1017925.34757848
2020,"DZA",1110679.88022791
2010,"ECU",225715.03677493
2011,"ECU",239343.402778783
2012,"ECU",298635.613425271
2013,"ECU",254055.388149043
2014,"ECU",265063.922384845
2015,"ECU",333566.910296846
2016,"ECU",390123.440280114
2017,"ECU",388979.417198126
2018,"ECU",367934.630600687
2019,"ECU",373582.35988978
2020,"ECU",391247.602883924
2010,"EGY",1590887.09812851
2011,"EGY",1807819.95097532
2012,"EGY",2139960.16283819
2013,"EGY",2125462.77623137
2014,"EGY",2280362.59408976
2015,"EGY",1897245.31919863
2016,"EGY",2715130.82507618
2017,"EGY",2386339.85905822
2018,"EGY",2492781.95507545
2019,"EGY",2804529.05371959
2020,"EGY",3205669.16861813
2010,"ERI",3930.96616628874
2011,"ERI",2580.48792347319
2012,"ERI",3255.72704488097
2013,"ERI",3255.72704488097
2014,"ERI",3255.72704488097
2015,"ERI",3255.72704488097
2016,"ERI",3255.72704488097
2017,"ERI",3255.72704488097
2018,"ERI",3255.72704488097
2019,"ERI",3255.72704488097
2020,"ERI",3255.72704488097
2010,"ESP",8653920.38499919
2011,"ESP",7451493.46404583
2012,"ESP",7580274.3301579
2013,"ESP",7981861.92181161
2014,"ESP",8371208.26867239
2015,"ESP",7820533.3747548
2016,"ESP",7705159.08385395
2017,"ESP",7798209.63556269
2018,"ESP",8033009.17336771
2019,"ESP",8470095.33606848
2020,"ESP",8777365.38836683
2010,"EST",89155.3670223522
2011,"EST",127688.023004876
2012,"EST",139537.828037089
2013,"EST",117374.052677364
2014,"EST",126303.026393962
2015,"EST",118716.627152225
2016,"EST",128421.850232582
2017,"EST",154845.075403231
2018,"EST",178021.07032444
2019,"EST",222829.823543099
2020,"EST",211264.518954294
2010,"ETH",155193.039504197
2011,"ETH",90148.6228985625
2012,"ETH",116909.660073613
2013,"ETH",119991.392266953
2014,"ETH",213262.307401819
2015,"ETH",130024.880198567
2016,"ETH",188760.872882192
2017,"ETH",203295.125100071
2018,"ETH",148706.486238606
2019,"ETH",174668.505854963
2020,"ETH",166162.542126625
2010,"FIN",1531529.13322265
2011,"FIN",1481104.4472988
2012,"FIN",1564507.47264915
2013,"FIN",1710980.40480756
2014,"FIN",1816448.10521574
2015,"FIN",1439441.04186285
2016,"FIN",1422481.7864876
2017,"FIN",1530695.96567867
2018,"FIN",1563147.70209188
2019,"FIN",1491923.3947187
2020,"FIN",1459023.03963106
2010,"FJI",3711.32563573049
2011,"FJI",3437.48909813101
2012,"FJI",3858.92111813812
2013,"FJI",3548.70711447509
2014,"FJI",4739.26698889283
2015,"FJI",4441.17222237182
2016,"FJI",5327.12465136588
2017,"FJI",5063.84218909823
2018,"FJI",5635.65499086042
2019,"FJI",4029.95501236016
2020,"FJI",5125.2280608527
2010,"FRA",16908841.9592261
2011,"FRA",16294247.1025486
2012,"FRA",15861400.4054785
2013,"FRA",15811250.8553089
2014,"FRA",15482196.0836203
2015,"FRA",14215728.6304835
2016,"FRA",13970958.8699922
2017,"FRA",14472513.2728687
2018,"FRA",12937846.9957086
2019,"FRA",13584575.3728923
2020,"FRA",14110838.4667561
2010,"FRO",1147.48630125181
2011,"FRO",8312.1490920775
2012,"FRO",1781.5657155404
2013,"FRO",3064.87494589558
2014,"FRO",2581.67921328561
2015,"FRO",1965.59831431594
2016,"FRO",1822.24092350327
2017,"FRO",1808.46977370141
2018,"FRO",1205.48000203918
2019,"FRO",1498.9605335653
2020,"FRO",1631.34794311739
2010,"FSM",51.9325182994522
2011,"FSM",68.4716794468006
2012,"FSM",63.1171309025409
2013,"FSM",56.9008478244676
2014,"FSM",49.663708966121
2015,"FSM",85.7641371714564
2016,"FSM",63.2127482013485
2017,"FSM",36.7778484341201
2018,"FSM",52.1048619363036
2019,"FSM",43.6790688519653
2020,"FSM",37.4417898952066
2010,"GAB",4452.23365016366
2011,"GAB",5242.17011910696
2012,"GAB",6930.0216902149
2013,"GAB",6847.40905022812
2014,"GAB",8675.02394262671
2015,"GAB",9360.0152766268
2016,"GAB",9868.74530342934
2017,"GAB",14004.7806807838
2018,"GAB",13869.3799180293
2019,"GAB",14288.4730617629
2020,"GAB",8042.41301400581
2010,"GBR",14602956.1382809
2011,"GBR",13497707.30907
2012,"GBR",14089913.3006571
2013,"GBR",11577700.266143
2014,"GBR",11574144.2181763
2015,"GBR",13254257.4828314
2016,"GBR",10944936.5559775
2017,"GBR",10347018.537887
2018,"GBR",10385236.3479039
2019,"GBR",10792531.6174476
2020,"GBR",11631431.0127108
2010,"GEO",61182.3846389807
2011,"GEO",70458.539187799
2012,"GEO",80245.6295478227
2013,"GEO",76656.2538979105
2014,"GEO",66309.2410816043
2015,"GEO",70542.3652121339
2016,"GEO",68219.1184335297
2017,"GEO",63478.1224758023
2018,"GEO",57407.5074048413
2019,"GEO",69432.561787042
2020,"GEO",73327.9521922353
2010,"GHA",74236.4215465899
2011,"GHA",104863.10494332
2012,"GHA",96219.934851633
2013,"GHA",139907.223897962
2014,"GHA",79524.7626981609
2015,"GHA",95916.1159493302
2016,"GHA",173100.829762805
2017,"GHA",124317.481805232
2018,"GHA",121590.94312891
2019,"GHA",152872.895775442
2020,"GHA",254121.414614254
2010,"GIN",58935.6207319832
2011,"GIN",54727.4707214144
2012,"GIN",26921.582089298
2013,"GIN",11335.0571439051
2014,"GIN",9636.2516790636
2015,"GIN",8098.23992342074
2016,"GIN",6492.12732325565
2017,"GIN",19589.9687573427
2018,"GIN",32369.7196584334
2019,"GIN",45954.7265103611
2020,"GIN",27353.6973983371
2010,"GMB",3048.12490610839
2011,"GMB",2021.50570616974
2012,"GMB",3138.97714811981
2013,"GMB",2379.43336860859
2014,"GMB",2451.63526578364
2015,"GMB",1628.77590738891
2016,"GMB",2860.32102219877
2017,"GMB",2490.35597152843
2018,"GMB",2703.49044384557
2019,"GMB",3144.09114422689
2020,"GMB",3096.19467272232
2010,"GNB",292.208567399712
2011,"GNB",1975.58172265125
2012,"GNB",646.978565420783
2013,"GNB",514.684907934918
2014,"GNB",1998.68868952345
2015,"GNB",1443.80646164941
2016,"GNB",825.384397442502
2017,"GNB",614.788149877492
2018,"GNB",1241.49582757261
2019,"GNB",541.67327688025
2020,"GNB",594.48971557142
2010,"GNQ",18729.1933158521
2011,"GNQ",38005.7104965339
2012,"GNQ",45526.0325181025
2013,"GNQ",67892.1599037244
2014,"GNQ",64134.6982635747
2015,"GNQ",48905.0306959119
2016,"GNQ",55407.3730568919
2017,"GNQ",35716.1095255718
2018,"GNQ",71473.3041404347
2019,"GNQ",61005.9659592096
2020,"GNQ",25755.358795758
2010,"GRC",757677.722105059
2011,"GRC",706753.517063903
2012,"GRC",587189.862433676
2013,"GRC",646018.720117954
2014,"GRC",681762.989139459
2015,"GRC",665801.012097982
2016,"GRC",612511.970420887
2017,"GRC",646005.617535524
2018,"GRC",727145.394306108
2019,"GRC",907877.882377869
2020,"GRC",1320808.63904673
2010,"GRL",320.699562687965
2011,"GRL",453.255831675923
2012,"GRL",386.729450350538
2013,"GRL",346.569733367676
2014,"GRL",428.830750965194
2015,"GRL",410.039030942046
2016,"GRL",469.207961544585
2017,"GRL",350.54675903288
2018,"GRL",327.135639907612
2019,"GRL",830.008911970205
2020,"GRL",1165.80099914418
2010,"GTM",192042.890512434
2011,"GTM",209269.200861725
2012,"GTM",226005.500651426
2013,"GTM",236809.36274886
2014,"GTM",277196.104217975
2015,"GTM",337581.921941338
2016,"GTM",332394.876645159
2017,"GTM",337403.288161702
2018,"GTM",319596.450402898
2019,"GTM",330806.261606316
2020,"GTM",410761.57608924
2010,"GUM",177.219741884586
2011,"GUM",278.593711899791
2012,"GUM",296.698858785754
2013,"GUM",188.239028657765
2014,"GUM",131.695087126705
2015,"GUM",126.58129522014
2016,"GUM",240.465449133342
2017,"GUM",297.238467300189
2018,"GUM",318.243867736607
2019,"GUM",643.769643721549
2020,"GUM",306.056788275731
2010,"HKG",230794.050328296
2011,"HKG",224361.390296603
2012,"HKG",201645.160340809
2013,"HKG",172787.95109397
2014,"HKG",161490.439690099
2015,"HKG",160841.868579261
2016,"HKG",162115.104398956
2017,"HKG",153210.618208667
2018,"HKG",167669.570172555
2019,"HKG",160398.520598843
2020,"HKG",166681.347218654
2010,"HND",41466.9774857679
2011,"HND",49079.925941217
2012,"HND",53447.1376277067
2013,"HND",42718.4718222589
2014,"HND",54158.1997502572
2015,"HND",56417.7103924661
2016,"HND",59928.5924726295
2017,"HND",62328.1713375157
2018,"HND",52673.9304765382
2019,"HND",59796.3725708556
2020,"HND",67459.6929665381
2010,"HRV",270383.764546794
2011,"HRV",262642.987366243
2012,"HRV",241841.355539169
2013,"HRV",227254.195974627
2014,"HRV",261210.995681238
2015,"HRV",247982.013020945
2016,"HRV",239228.293554854
2017,"HRV",235973.630807102
2018,"HRV",229248.895032629
2019,"HRV",232140.106407787
2020,"HRV",232758.71234301
2010,"HTI",9677.37574952201
2011,"HTI",8878.12009249739
2012,"HTI",12320.0961743919
2013,"HTI",12346.7134183136
2014,"HTI",17927.4699109171
2015,"HTI",11605.6581648555
2016,"HTI",10014.3616741753
2017,"HTI",11009.6565235917
2018,"HTI",37093.6002325294
2019,"HTI",34973.4690684073
2020,"HTI",13701.6353923849
2010,"HUN",477177.810386487
2011,"HUN",512274.055285803
2012,"HUN",528604.011941332
2013,"HUN",576476.141039148
2014,"HUN",605263.588440611
2015,"HUN",558017.441318667
2016,"HUN",579196.662764923
2017,"HUN",698763.614051152
2018,"HUN",732245.909577657
2019,"HUN",694858.772739341
2020,"HUN",756133.691137826
2010,"IDN",5053781.2414027
2011,"IDN",5699937.02074402
2012,"IDN",5639498.25026399
2013,"IDN",5673520.59206321
2014,"IDN",6185650.50407598
