"year","location_code","prodinit_ippu_glass_tonne"
2012,"BMU",1013.85571244979
2013,"BMU",607.861614665568
2014,"BMU",719.56253637832
2015,"BMU",727.297822845407
2016,"BMU",1058.52925920783
2017,"BMU",990.256275412772
2018,"BMU",2032.67503031945
2019,"BMU",946.807991451981
2020,"BMU",800.228605624414
2010,"BOL",4323.93528771771
2011,"BOL",4492.21196735943
2012,"BOL",5911.72070232226
2013,"BOL",6954.97480441513
2014,"BOL",5467.45367616934
2015,"BOL",5901.37517654502
2016,"BOL",6503.85681987324
2017,"BOL",6125.94849087764
2018,"BOL",5456.45714585531
2019,"BOL",6074.42417561958
2020,"BOL",5990.7578821067
2010,"BRA",621673.478153678
2011,"BRA",674752.828645288
2012,"BRA",609065.922722993
2013,"BRA",596489.155313008
2014,"BRA",536450.575326902
2015,"BRA",404674.303197152
2016,"BRA",372406.676192083
2017,"BRA",450613.755924574
2018,"BRA",393198.141130818
2019,"BRA",375188.518343482
2020,"BRA",296129.289827321
2010,"BRB",2113.55565431822
2011,"BRB",1687.5635795571
2012,"BRB",1569.82239076638
2013,"BRB",1387.20771166557
2014,"BRB",2687.1113720584
2015,"BRB",1517.99696625535
2016,"BRB",2053.53805275708
2017,"BRB",2324.05822858939
2018,"BRB",1776.03955806221
2019,"BRB",1516.69782785709
2020,"BRB",1731.70232398493
2010,"BRN",1920.5145489216
2011,"BRN",2558.55226721087
2012,"BRN",4164.9237383401
2013,"BRN",5311.15569483125
2014,"BRN",4589.80343887968
2015,"BRN",4040.54503331046
2016,"BRN",1906.50695014728
2017,"BRN",2221.94904847979
2018,"BRN",1780.74377023106
2019,"BRN",1106.51313119491
2020,"BRN",1059.44311445717
2010,"BTN",144.941277605683
2011,"BTN",219.325849861547
2012,"BTN",161.765773632135
2013,"BTN",115.125109007467
2014,"BTN",52.9791997881842
2015,"BTN",101.904395320109
2016,"BTN",170.513518126504
2017,"BTN",230.52557529702
2018,"BTN",473.576560400893
2019,"BTN",619.446840891049
2020,"BTN",559.287862139544
2010,"BWA",3001.13408966061
2011,"BWA",3211.23817258053
2012,"BWA",2712.22900014464
2013,"BWA",2073.35453034175
2014,"BWA",1921.74111519387
2015,"BWA",1838.33582679321
2016,"BWA",2727.11075442347
2017,"BWA",3006.41656588023
2018,"BWA",2441.28665182548
2019,"BWA",2242.83320642313
2020,"BWA",1683.11887089091
2010,"CAF",339.037031740341
2011,"CAF",330.531896216746
2012,"CAF",369.172839713013
2013,"CAF",125.91080808308
2014,"CAF",203.831935011125
2015,"CAF",105.223865569537
2016,"CAF",159.152724662266
2017,"CAF",213.730231936244
2018,"CAF",276.981141112976
2019,"CAF",129.480199671156
2020,"CAF",90.1200131016847
2010,"CAN",647523.443630403
2011,"CAN",657255.167460245
2012,"CAN",635998.492016835
2013,"CAN",635595.310772936
2014,"CAN",626035.078443644
2015,"CAN",625231.713373042
2016,"CAN",621338.934980722
2017,"CAN",656397.793000289
2018,"CAN",639705.536107749
2019,"CAN",622582.578841556
2020,"CAN",592729.275664446
2010,"CHE",180945.789315143
2011,"CHE",185974.184459442
2012,"CHE",166028.803979986
2013,"CHE",153721.705641625
2014,"CHE",179465.259051487
2015,"CHE",165032.872631492
2016,"CHE",148464.023163058
2017,"CHE",157204.605166132
2018,"CHE",165589.112217063
2019,"CHE",159485.556791223
2020,"CHE",141173.171113993
2010,"CHL",53419.4936248918
2011,"CHL",51761.004529503
2012,"CHL",57537.1570328702
2013,"CHL",55774.3380316583
2014,"CHL",49080.1784387252
2015,"CHL",54941.2121883728
2016,"CHL",53093.2683676233
2017,"CHL",63976.1966476071
2018,"CHL",63896.2459479891
2019,"CHL",63713.5599641706
2020,"CHL",54560.2307310842
2010,"CHN",3971470.8426917
2011,"CHN",4639662.97885001
2012,"CHN",5245218.07939935
2013,"CHN",5582652.64532351
2014,"CHN",5808471.03053537
2015,"CHN",6805659.41149278
2016,"CHN",7162895.4197154
2017,"CHN",7353925.26319686
2018,"CHN",7846429.42382774
2019,"CHN",8634540.9783719
2020,"CHN",8321799.49867753
2010,"CIV",4992.11157292864
2011,"CIV",5484.877025851
2012,"CIV",5776.04709219045
2013,"CIV",7827.92591979359
2014,"CIV",9457.52385314619
2015,"CIV",10898.1869166589
2016,"CIV",11095.2134151186
2017,"CIV",13300.403773366
2018,"CIV",13887.8107850791
2019,"CIV",13983.733243166
2020,"CIV",15999.2111510983
2010,"CMR",12010.2930609309
2011,"CMR",9521.85647552678
2012,"CMR",10068.0694912731
2013,"CMR",14859.1429480459
2014,"CMR",10220.7031912206
2015,"CMR",12598.855655832
2016,"CMR",10718.7940278972
2017,"CMR",12157.6525925529
2018,"CMR",12402.3075420524
2019,"CMR",9302.3988469044
2020,"CMR",12189.4005232289
2010,"COD",3033.34558243355
2011,"COD",3933.3733036247
2012,"COD",5281.96042709647
2013,"COD",5142.62914277906
2014,"COD",4077.88295012596
2015,"COD",7354.95434465397
2016,"COD",24045.544261346
2017,"COD",3886.25132298324
2018,"COD",3772.3830856669
2019,"COD",7349.84788984046
2020,"COD",5398.39524352267
2010,"COG",1445.16030369878
2011,"COG",1846.59850736963
2012,"COG",2636.68492834563
2013,"COG",2818.42411814387
2014,"COG",2421.57179765913
2015,"COG",1988.72355955153
2016,"COG",1330.55148470963
2017,"COG",1444.9089152111
2018,"COG",1831.26397607749
2019,"COG",1660.26052590184
2020,"COG",2337.64452032428
