"year","location_code","prodinit_ippu_paper_tonne"
2011,"BHR",57124.1107769924
2012,"BHR",65315.4860062273
2013,"BHR",64351.0680765332
2014,"BHR",81006.7319106736
2015,"BHR",85844.3406354927
2016,"BHR",93549.9732611948
2017,"BHR",98748.029131217
2018,"BHR",92045.3381642063
2019,"BHR",92259.9633015978
2020,"BHR",91227.518965896
2010,"BHS",20956.5071657165
2011,"BHS",19116.007652595
2012,"BHS",27837.84167365
2013,"BHS",23917.5200886901
2014,"BHS",23721.2578529686
2015,"BHS",33953.8136015461
2016,"BHS",27957.0922831828
2017,"BHS",29146.5460689187
2018,"BHS",32529.0414218878
2019,"BHS",26536.4128008712
2020,"BHS",23753.156917604
2010,"BIH",241710.963606013
2011,"BIH",263308.862750591
2012,"BIH",248089.014229578
2013,"BIH",262637.45914637
2014,"BIH",251504.841643994
2015,"BIH",243321.997613809
2016,"BIH",232737.683026184
2017,"BIH",228200.893624391
2018,"BIH",246237.654502613
2019,"BIH",219106.761199909
2020,"BIH",250878.364108921
2010,"BLR",261920.515876365
2011,"BLR",229552.17903383
2012,"BLR",269074.222688979
2013,"BLR",360008.782455362
2014,"BLR",460369.890903093
2015,"BLR",314418.836627175
2016,"BLR",296025.29936941
2017,"BLR",327845.103629624
2018,"BLR",351636.734776288
2019,"BLR",399035.977885839
2020,"BLR",392593.846663672
2010,"BLZ",17741.9516757306
2011,"BLZ",14492.4902289344
2012,"BLZ",12545.7672581271
2013,"BLZ",14508.764161135
2014,"BLZ",10844.6072111114
2015,"BLZ",12155.4802872071
2016,"BLZ",9956.45257618863
2017,"BLZ",12311.0491396461
2018,"BLZ",10119.9545348202
2019,"BLZ",11817.5398585118
2020,"BLZ",14341.0174089576
2010,"BMU",17600.8071610996
2011,"BMU",14255.4661760059
2012,"BMU",13925.501176332
2013,"BMU",13726.6231210481
2014,"BMU",12170.0214240957
2015,"BMU",14129.5602198764
2016,"BMU",15481.544255072
2017,"BMU",15061.179320785
2018,"BMU",12864.8869119983
2019,"BMU",11793.9595931837
2020,"BMU",13774.2146538724
2010,"BOL",143048.338014268
2011,"BOL",129761.513881738
2012,"BOL",152249.716617246
2013,"BOL",153781.453512305
2014,"BOL",143518.744181866
2015,"BOL",165684.190799045
2016,"BOL",181313.700378616
2017,"BOL",191459.467161121
2018,"BOL",187181.008876207
2019,"BOL",169800.260875627
2020,"BOL",167184.474970097
2010,"BRA",11547400.4472975
2011,"BRA",11428330.1183118
2012,"BRA",10913887.0606993
2013,"BRA",9932160.78603832
2014,"BRA",9952647.17683678
2015,"BRA",8467650.64501454
2016,"BRA",8191698.57153797
2017,"BRA",8847476.63942163
2018,"BRA",6930693.95795132
2019,"BRA",6840111.30346286
2020,"BRA",4939215.27641675
2010,"BRB",31852.3493550216
2011,"BRB",33277.6658169986
2012,"BRB",33798.7292637883
2013,"BRB",32064.9065591597
2014,"BRB",33854.4261310154
2015,"BRB",33051.8283460701
2016,"BRB",38973.4235505735
2017,"BRB",35000.4556685419
2018,"BRB",35941.9327973055
2019,"BRB",41106.7872457352
2020,"BRB",40744.4102412991
2010,"BRN",37831.6003182644
2011,"BRN",41899.2670551041
2012,"BRN",43645.6683511062
2013,"BRN",44767.355235635
2014,"BRN",58686.0351805438
2015,"BRN",78975.3419784684
2016,"BRN",40167.3487126209
2017,"BRN",33247.7987539645
2018,"BRN",25409.091041623
2019,"BRN",22575.6723304125
2020,"BRN",20667.0166902878
2010,"BTN",1213.7612280263
2011,"BTN",1386.07328447902
2012,"BTN",1591.46695215222
2013,"BTN",723.953427206867
2014,"BTN",1023.76959756476
2015,"BTN",1948.41085429366
2016,"BTN",1984.34105593074
2017,"BTN",3163.8416793787
2018,"BTN",6002.04779880291
2019,"BTN",6532.59266620564
2020,"BTN",6582.79054743606
2010,"BWA",74272.7879813433
2011,"BWA",67919.6399069292
2012,"BWA",56033.2540222644
2013,"BWA",47339.9600423796
2014,"BWA",52787.5581955013
2015,"BWA",47846.9722717113
2016,"BWA",57193.9847738519
2017,"BWA",78011.2860048551
2018,"BWA",64626.9136534943
2019,"BWA",59432.2261310189
2020,"BWA",49852.1044612076
2010,"CAF",6084.04337890669
2011,"CAF",6666.22109708072
2012,"CAF",7300.89339110155
2013,"CAF",2535.75462648192
2014,"CAF",2575.95590526386
2015,"CAF",2781.18763348633
2016,"CAF",4209.34420248323
2017,"CAF",2380.45342678323
2018,"CAF",2249.89803633923
2019,"CAF",1929.97156504149
2020,"CAF",1774.72466089115
2010,"CAN",18036253.4425522
2011,"CAN",17406786.02054
2012,"CAN",17339946.7184296
2013,"CAN",17009497.3691556
2014,"CAN",16196769.5656871
2015,"CAN",15733121.8864195
2016,"CAN",14942537.5706157
2017,"CAN",15151396.6548239
2018,"CAN",14942028.5543823
2019,"CAN",14454758.6639033
2020,"CAN",13782389.8632143
2010,"CHE",2724836.96116992
2011,"CHE",2721043.02659013
2012,"CHE",2403672.74176495
2013,"CHE",2208331.05918977
2014,"CHE",2351203.01626261
2015,"CHE",2218838.61484507
2016,"CHE",2007010.8911697
2017,"CHE",2028489.44151795
2018,"CHE",1985684.42558643
2019,"CHE",1878328.41446378
2020,"CHE",1700074.75481657
2010,"CHL",1520140.22823048
2011,"CHL",1580809.01338525
2012,"CHL",1678977.8695125
2013,"CHL",1632047.14877653
2014,"CHL",1502147.37094876
2015,"CHL",1645090.46298176
2016,"CHL",1626059.46095
2017,"CHL",1789941.61780974
2018,"CHL",1777252.83119653
2019,"CHL",1639932.11785418
2020,"CHL",1423204.71954948
2010,"CHN",18693706.8214148
2011,"CHN",23524188.4239682
2012,"CHN",26699354.7390776
2013,"CHN",29234036.5877154
2014,"CHN",33310901.1505494
2015,"CHN",40672380.8976142
2016,"CHN",43167588.2311379
2017,"CHN",45675571.4675019
2018,"CHN",47354615.4254445
2019,"CHN",51643677.8719772
2020,"CHN",52048362.1855947
2010,"CIV",167465.767216831
2011,"CIV",179417.882841812
2012,"CIV",147101.886722875
2013,"CIV",193914.619763803
2014,"CIV",286492.760517082
2015,"CIV",265503.427287143
2016,"CIV",295940.485349152
2017,"CIV",307636.422715723
2018,"CIV",361769.382884503
2019,"CIV",351779.193443836
2020,"CIV",285586.375991957
2010,"CMR",155476.867561924
2011,"CMR",164827.710688464
2012,"CMR",149472.420066745
2013,"CMR",152069.347715767
2014,"CMR",165319.573099974
2015,"CMR",180314.156003793
2016,"CMR",191557.035967322
2017,"CMR",193597.031928985
2018,"CMR",180189.683051722
2019,"CMR",182816.53932747
2020,"CMR",227512.000224692
2010,"COD",43191.8874621239
2011,"COD",50184.6849565685
2012,"COD",64978.7813363829
2013,"COD",53182.619765636
2014,"COD",42320.206541544
2015,"COD",74764.6607908843
2016,"COD",68486.0812772207
2017,"COD",47456.3517756257
2018,"COD",55864.2684392129
2019,"COD",74696.4480245299
2020,"COD",69002.0896726825
2010,"COG",17498.3084702009
2011,"COG",23261.6188425605
2012,"COG",30283.4531662694
2013,"COG",34701.9079983528
2014,"COG",27305.4175641033
2015,"COG",17051.8353847011
2016,"COG",18860.3101725549
2017,"COG",28371.8470138341
2018,"COG",37192.5286307447
2019,"COG",28080.386751546
2020,"COG",36689.0813217984
2010,"COL",2376009.29778224
2011,"COL",2218576.09758949
2012,"COL",2419557.51371156
2013,"COL",2268711.75700161
2014,"COL",2282816.59399539
2015,"COL",2006314.21271708
2016,"COL",1813526.55085424
2017,"COL",2026986.6410028
2018,"COL",2000622.78613493
2019,"COL",1857882.55902432
2020,"COL",1683017.38732085
2010,"COM",29179.9963487988
2011,"COM",2084.10550022336
2012,"COM",2083.67148921254
2013,"COM",3082.37973412603
2014,"COM",6014.5977779677
2015,"COM",8245.59231515324
2016,"COM",11530.0398880264
2017,"COM",6168.59775376747
2018,"COM",12243.9735232835
2019,"COM",6656.38039718747
2020,"COM",5788.23495867201
2010,"CPV",5975.18073884668
2011,"CPV",7038.65428440964
2012,"CPV",7030.60525957633
2013,"CPV",7676.42183867427
2014,"CPV",6723.01104107595
2015,"CPV",5896.33083845141
2016,"CPV",6846.2892467801
2017,"CPV",6615.95945720923
2018,"CPV",7921.31325651223
2019,"CPV",7792.09801852836
2020,"CPV",7103.78453690709
2010,"CRI",702055.842585725
2011,"CRI",683614.362789277
2012,"CRI",722021.251318037
2013,"CRI",748616.98163316
2014,"CRI",712767.938624471
2015,"CRI",887100.625428757
2016,"CRI",760069.013641543
2017,"CRI",828825.1093487
2018,"CRI",796529.410198479
2019,"CRI",806580.133683963
2020,"CRI",778032.335293796
2010,"CUB",216899.8507903
2011,"CUB",165407.668600826
2012,"CUB",217170.079791
2013,"CUB",197520.960973916
2014,"CUB",171076.083205598
2015,"CUB",299451.432236236
2016,"CUB",298091.283231234
2017,"CUB",287972.688730631
2018,"CUB",242318.243204649
2019,"CUB",220221.600975248
2020,"CUB",251201.258194865
2010,"CUW",6446.28562769654
2011,"CUW",6505.01065565167
2012,"CUW",6894.12933074178
2013,"CUW",6560.71725108036
2014,"CUW",6441.16116334372
2015,"CUW",6944.50334795253
2016,"CUW",6196.68369343088
2017,"CUW",5581.79395167487
2018,"CUW",6446.28562769654
2019,"CUW",6446.28562769654
2020,"CUW",6446.28562769654
2010,"CYM",45588.6012769648
2011,"CYM",45588.6012769648
2012,"CYM",45588.6012769648
2013,"CYM",45588.6012769648
2014,"CYM",45588.6012769648
2015,"CYM",45588.6012769648
2016,"CYM",45588.6012769648
2017,"CYM",95326.9521322755
2018,"CYM",46590.0288258364
2019,"CYM",16599.6114110375
2020,"CYM",23837.81273871
2010,"CYP",137783.17255289
2011,"CYP",169692.892859418
2012,"CYP",135113.556200343
2013,"CYP",121237.693050865
2014,"CYP",90546.5168854705
2015,"CYP",81096.3985371972
2016,"CYP",72163.8932623839
2017,"CYP",71080.7885219494
2018,"CYP",75957.9936267608
2019,"CYP",70915.8649514675
2020,"CYP",56770.8163855654
2010,"CZE",2014680.57751651
2011,"CZE",2145562.93364087
2012,"CZE",1927335.87082772
2013,"CZE",1988672.52724057
2014,"CZE",1879148.08143797
2015,"CZE",1819229.26196242
2016,"CZE",1927431.08877889
2017,"CZE",2087174.07270553
2018,"CZE",2244672.97387774
2019,"CZE",2265974.58533948
2020,"CZE",2315196.44675267
2010,"DEU",32348066.8688583
2011,"DEU",32787010.710375
2012,"DEU",30591395.0949225
2013,"DEU",30171385.351767
2014,"DEU",30516066.555114
2015,"DEU",27120144.6960955
2016,"DEU",27570843.6913356
2017,"DEU",27692237.7187137
2018,"DEU",27928867.6346888
2019,"DEU",26204704.9545571
2020,"DEU",25647856.7184273
2010,"DJI",13589.5761428822
2011,"DJI",13589.5761428822
2012,"DJI",13589.5761428822
2013,"DJI",8784.12294652549
2014,"DJI",7502.64282121838
2015,"DJI",10900.7997947986
2016,"DJI",19246.0844177665
2017,"DJI",16413.1301621457
2018,"DJI",14182.9022453158
2019,"DJI",17528.3366566691
2020,"DJI",14158.5900986178
2010,"DMA",4224.64090112594
2011,"DMA",4324.00548206388
2012,"DMA",6010.19352721568
2013,"DMA",4534.84650723173
2014,"DMA",3473.69441593496
2015,"DMA",4331.55005994868
2016,"DMA",1924.66707067248
2017,"DMA",4994.59400970765
2018,"DMA",5637.48071915308
2019,"DMA",4383.96363256157
2020,"DMA",4383.96363256157
2010,"DNK",1948491.46332876
2011,"DNK",1963054.20319254
2012,"DNK",1813351.67232155
2013,"DNK",1750225.8281655
2014,"DNK",1746943.24965294
2015,"DNK",1555462.70050929
2016,"DNK",1623331.63755803
2017,"DNK",1567331.68635898
2018,"DNK",1507565.60285534
2019,"DNK",1411153.54475787
2020,"DNK",1458210.30136528
2010,"DOM",440795.808789381
2011,"DOM",439701.957227112
2012,"DOM",458166.831304891
2013,"DOM",492891.304054023
2014,"DOM",549513.567524967
2015,"DOM",638416.005124108
2016,"DOM",646797.418758036
2017,"DOM",716952.084571566
2018,"DOM",665744.559176599
2019,"DOM",712445.121981666
2020,"DOM",710539.46105489
2010,"DZA",628920.130796257
2011,"DZA",779721.387427994
2012,"DZA",879074.886024601
2013,"DZA",754930.047138956
2014,"DZA",755395.934983538
2015,"DZA",629368.834906776
2016,"DZA",633682.874061388
2017,"DZA",723918.83738379
2018,"DZA",714197.718664534
2019,"DZA",727558.931804913
2020,"DZA",632387.534604452
2010,"ECU",615002.29548529
2011,"ECU",645303.706865699
2012,"ECU",707211.750420921
2013,"ECU",742717.389096272
2014,"ECU",771794.812364788
2015,"ECU",889229.42265422
2016,"ECU",931730.151395607
2017,"ECU",1007907.72808513
2018,"ECU",1009731.64765887
2019,"ECU",856697.039245791
2020,"ECU",803025.158244407
2010,"EGY",2007048.31661741
2011,"EGY",2231209.07561793
2012,"EGY",2728089.02242334
2013,"EGY",2515363.08408279
2014,"EGY",2789732.39418324
2015,"EGY",2893435.76440913
2016,"EGY",3412523.79131141
2017,"EGY",2360329.20127877
2018,"EGY",2299549.24477537
2019,"EGY",2507168.26002445
2020,"EGY",2856447.54174167
2010,"ERI",4181.58705000505
2011,"ERI",6065.7920328406
2012,"ERI",5123.68954142282
2013,"ERI",5123.68954142282
2014,"ERI",5123.68954142282
2015,"ERI",5123.68954142282
2016,"ERI",5123.68954142282
2017,"ERI",5123.68954142282
2018,"ERI",5123.68954142282
2019,"ERI",5123.68954142282
2020,"ERI",5123.68954142282
2010,"ESP",11603433.7264544
2011,"ESP",11204837.481098
2012,"ESP",9942183.62886287
2013,"ESP",9851624.87731086
2014,"ESP",9499326.41035559
2015,"ESP",8720451.99795501
2016,"ESP",8741910.47799947
2017,"ESP",8713339.93192104
2018,"ESP",8993636.55443743
2019,"ESP",8618204.48331596
2020,"ESP",8553022.43002163
2010,"EST",182227.803727725
2011,"EST",186243.573990253
2012,"EST",175239.686718559
2013,"EST",191700.115885476
2014,"EST",193956.88185275
2015,"EST",176698.717920569
2016,"EST",179574.459121509
2017,"EST",196453.833993216
2018,"EST",208398.010767676
2019,"EST",195646.985114569
2020,"EST",185610.617853403
2010,"ETH",155357.270897811
2011,"ETH",57056.0765970973
2012,"ETH",78141.5804403458
2013,"ETH",132402.139913808
2014,"ETH",376774.505750384
2015,"ETH",104121.895610634
2016,"ETH",145048.387558953
2017,"ETH",165341.028690238
2018,"ETH",150394.520097343
2019,"ETH",183986.922423425
2020,"ETH",160305.651895885
2010,"FIN",9856427.90780978
2011,"FIN",10234232.8139986
2012,"FIN",9693420.08673934
2013,"FIN",9617807.07566302
2014,"FIN",9550126.17762718
2015,"FIN",8735332.59845453
2016,"FIN",8543994.17221397
2017,"FIN",7603083.97461919
2018,"FIN",7598267.90751441
2019,"FIN",6777910.8898445
2020,"FIN",6135382.73290532
2010,"FJI",27859.5523592641
2011,"FJI",34160.7226268948
2012,"FJI",34716.8018419601
2013,"FJI",27666.6252643944
2014,"FJI",38815.6802300656
2015,"FJI",37984.7499931955
2016,"FJI",46419.3757658647
2017,"FJI",42836.8994486079
2018,"FJI",45813.9993132644
2019,"FJI",33380.0336314332
2020,"FJI",43616.1935712744
2010,"FRA",22399450.6181414
2011,"FRA",22765305.6551349
2012,"FRA",20517376.5146505
2013,"FRA",19871260.2532381
2014,"FRA",19124650.5082737
2015,"FRA",16641958.6481423
2016,"FRA",16731439.6454426
2017,"FRA",16638508.7530509
2018,"FRA",16544857.584084
2019,"FRA",15698013.0915066
2020,"FRA",15773622.0487856
2010,"FRO",12078.4799325717
2011,"FRO",11534.698133084
2012,"FRO",10337.0180238886
2013,"FRO",12759.5472737725
2014,"FRO",15150.3830833161
2015,"FRO",12954.0825311771
2016,"FRO",12405.784885141
2017,"FRO",14111.7413595443
2018,"FRO",12360.3166936093
2019,"FRO",13266.1595071938
2020,"FRO",13657.2808470505
2010,"FSM",550.799978644234
2011,"FSM",545.146782252318
2012,"FSM",655.376066208436
2013,"FSM",884.04075039716
2014,"FSM",323.71559429465
2015,"FSM",656.913014643142
2016,"FSM",429.273851738787
2017,"FSM",558.170241532373
2018,"FSM",524.173065658561
2019,"FSM",665.869675807741
2020,"FSM",946.330490666836
2010,"GAB",36915.110711311
2011,"GAB",47350.8212748909
2012,"GAB",46182.8885308918
2013,"GAB",46550.8380481281
2014,"GAB",49684.0630999729
2015,"GAB",49600.0640148285
2016,"GAB",45024.6234326862
2017,"GAB",47597.940414463
2018,"GAB",52472.9759105083
2019,"GAB",56518.2462863869
2020,"GAB",44758.9206091764
2010,"GBR",15339755.2125515
2011,"GBR",14778578.9974842
2012,"GBR",14378729.1959025
2013,"GBR",14183082.1653039
2014,"GBR",15191560.5573873
2015,"GBR",14673222.1982104
2016,"GBR",13099049.8425925
2017,"GBR",12283850.0917617
2018,"GBR",12117577.5815417
2019,"GBR",11421047.565352
2020,"GBR",11068027.9841658
2010,"GEO",69232.7109979774
2011,"GEO",79735.5989348308
2012,"GEO",92629.0769889206
2013,"GEO",104217.725482664
2014,"GEO",96542.975826647
2015,"GEO",87825.3848643284
2016,"GEO",91141.8082225842
2017,"GEO",94219.2851822667
2018,"GEO",88192.6239747956
2019,"GEO",95512.3675793409
2020,"GEO",89727.6112097544
2010,"GHA",130746.818103108
2011,"GHA",233977.824474568
2012,"GHA",180350.397273666
2013,"GHA",286536.680929699
2014,"GHA",304239.053782704
2015,"GHA",228911.851654321
2016,"GHA",351230.024991991
2017,"GHA",394945.453311607
2018,"GHA",337424.104568113
2019,"GHA",238589.021426996
2020,"GHA",383717.57516624
2010,"GIN",12339.0550962144
2011,"GIN",13746.6260878399
2012,"GIN",17332.9675279685
2013,"GIN",18895.4919497611
2014,"GIN",24016.2597327356
2015,"GIN",30335.4019433162
2016,"GIN",21289.6181240752
2017,"GIN",30134.5480036479
2018,"GIN",35319.6410331966
2019,"GIN",43078.459260844
2020,"GIN",26212.4275487349
2010,"GMB",9043.78627005517
2011,"GMB",9832.93571377954
2012,"GMB",10563.271394087
2013,"GMB",11955.7045198269
2014,"GMB",10155.6275708644
2015,"GMB",10931.0032907426
2016,"GMB",13869.5853062806
2017,"GMB",12829.7394421089
2018,"GMB",11578.539445484
2019,"GMB",17104.5974494756
2020,"GMB",14902.6276191413
2010,"GNB",1445.9967895482
2011,"GNB",1935.79295185589
2012,"GNB",2468.31363947331
2013,"GNB",1788.1010606993
2014,"GNB",2584.40325786949
2015,"GNB",2699.51189836725
2016,"GNB",3748.69152084944
2017,"GNB",3641.45131619515
2018,"GNB",4749.68893043617
2019,"GNB",5907.09999349535
2020,"GNB",4010.32106731321
2010,"GNQ",6611.40597356842
2011,"GNQ",11232.8069127591
2012,"GNQ",11179.5323877435
2013,"GNQ",13623.0102328058
2014,"GNQ",17303.3529339744
2015,"GNQ",12020.9670368006
2016,"GNQ",12476.5734502159
2017,"GNQ",9937.78224586987
2018,"GNQ",11204.6235324183
2019,"GNQ",9572.51923159285
2020,"GNQ",9566.4138682507
2010,"GRC",1776423.09203705
2011,"GRC",1612408.90025463
2012,"GRC",1321938.04093868
2013,"GRC",1392057.94251562
2014,"GRC",1351341.90089369
2015,"GRC",1232172.70259247
2016,"GRC",1340658.51570627
2017,"GRC",1232426.35511233
2018,"GRC",1200839.14445217
2019,"GRC",1140475.46634648
2020,"GRC",1201748.82991718
2010,"GRL",5918.65719775352
2011,"GRL",4597.63356040908
2012,"GRL",6593.78826400219
2013,"GRL",7883.88891792134
2014,"GRL",9021.68625041605
2015,"GRL",8673.42656256235
2016,"GRL",9233.08051507639
2017,"GRL",9137.34904561391
2018,"GRL",10295.8630826736
2019,"GRL",7341.20167123784
2020,"GRL",7095.49187166023
2010,"GTM",599228.984066925
2011,"GTM",637275.265136304
2012,"GTM",695743.993163569
2013,"GTM",745057.227667797
2014,"GTM",770573.45737149
2015,"GTM",952964.727484424
2016,"GTM",989620.106380326
2017,"GTM",1176085.03553267
2018,"GTM",1158726.76261013
2019,"GTM",1226206.9883228
2020,"GTM",1268584.81767136
2010,"GUM",2140.50099755509
2011,"GUM",2304.81086262246
2012,"GUM",2584.3062665105
2013,"GUM",2074.87805050486
2014,"GUM",1945.68820257157
2015,"GUM",2002.89411439456
2016,"GUM",2776.37623809895
2017,"GUM",3144.98618101332
2018,"GUM",2744.09970514371
2019,"GUM",3336.05648243878
2020,"GUM",1921.4854779444
2010,"HKG",489182.806829516
2011,"HKG",598420.885748808
2012,"HKG",496441.943768696
2013,"HKG",479721.978286499
2014,"HKG",500081.958288556
2015,"HKG",541804.296378281
2016,"HKG",527392.454287982
2017,"HKG",520575.95770741
2018,"HKG",488765.203528638
2019,"HKG",463489.954677717
2020,"HKG",359098.491354044
2010,"HND",213645.600242973
2011,"HND",197138.39528642
2012,"HND",235705.203767402
2013,"HND",218395.104235789
2014,"HND",294396.107091813
2015,"HND",349108.005700727
2016,"HND",368428.288937285
2017,"HND",378473.780809437
2018,"HND",344911.216712456
2019,"HND",291565.779542445
2020,"HND",271897.181689769
2010,"HRV",621375.883222564
2011,"HRV",632659.188151632
2012,"HRV",573350.523939233
2013,"HRV",554359.486439683
2014,"HRV",572924.284086735
2015,"HRV",511956.588441093
2016,"HRV",537182.643907244
2017,"HRV",562183.120347986
2018,"HRV",584432.561519031
2019,"HRV",550375.227877289
2020,"HRV",561357.353252294
2010,"HTI",41356.0396767273
2011,"HTI",60734.0993334169
2012,"HTI",67334.7365968437
2013,"HTI",76187.3686286412
2014,"HTI",96054.1784236442
2015,"HTI",81412.1979001334
2016,"HTI",71240.6189329845
2017,"HTI",75187.3586516742
2018,"HTI",82012.6843757603
2019,"HTI",79101.9933400925
2020,"HTI",112635.22375838
2010,"HUN",1108565.06567038
2011,"HUN",1154948.28910052
2012,"HUN",1164324.57048735
2013,"HUN",1157213.86501851
2014,"HUN",1126556.60981167
2015,"HUN",1067690.18617019
2016,"HUN",1092386.35557907
2017,"HUN",1175249.97929597
2018,"HUN",1213077.4437176
2019,"HUN",1160098.5706474
2020,"HUN",1099964.78411066
2010,"IDN",7515007.41654468
