"year","location_code","prodinit_ippu_textiles_tonne"
2014,"IDN",1509537.67734417
2015,"IDN",1672260.86798264
2016,"IDN",1829051.23781959
2017,"IDN",1808947.67913066
2018,"IDN",1717515.92757602
2019,"IDN",1907725.7288579
2020,"IDN",1795008.95674251
2010,"IND",1948988.71872692
2011,"IND",1994678.04511797
2012,"IND",1972938.47901219
2013,"IND",2355607.43323708
2014,"IND",2501998.69643671
2015,"IND",2946873.83398373
2016,"IND",2942400.44523615
2017,"IND",3120113.79616541
2018,"IND",2940255.26109722
2019,"IND",3105478.34986536
2020,"IND",2486013.85641287
2010,"IRL",77173.3835817047
2011,"IRL",77842.0877616237
2012,"IRL",71454.0740787324
2013,"IRL",73321.5608789104
2014,"IRL",76525.598088093
2015,"IRL",74255.3930124911
2016,"IRL",66054.1443203402
2017,"IRL",66685.9442535869
2018,"IRL",73465.7365697663
2019,"IRL",56886.6239991678
2020,"IRL",59705.6202076676
2010,"IRN",258167.233569829
2011,"IRN",329278.567568448
2012,"IRN",208703.943386145
2013,"IRN",262543.999181823
2014,"IRN",335932.538723584
2015,"IRN",326763.722623763
2016,"IRN",360036.651474579
2017,"IRN",326081.811585509
2018,"IRN",180717.778586548
2019,"IRN",118746.179801681
2020,"IRN",84029.9536610975
2010,"IRQ",65135.028301647
2011,"IRQ",71862.2839408494
2012,"IRQ",115515.364289561
2013,"IRQ",161129.458361992
2014,"IRQ",149142.486638158
2015,"IRQ",149608.301404421
2016,"IRQ",182674.806461647
2017,"IRQ",225249.3214318
2018,"IRQ",206220.019444117
2019,"IRQ",155721.736675083
2020,"IRQ",170471.385288356
2010,"ISL",7050.67758977983
2011,"ISL",6695.78961350036
2012,"ISL",5745.26499873318
2013,"ISL",6383.32591080517
2014,"ISL",7051.9479377198
2015,"ISL",6839.77879064633
2016,"ISL",8978.12257515805
2017,"ISL",11725.492810247
2018,"ISL",12068.9861162005
2019,"ISL",11550.034909372
2020,"ISL",12716.1925437194
2010,"ISR",169499.079184402
2011,"ISR",180116.919795318
2012,"ISR",185950.225924665
2013,"ISR",215297.280978845
2014,"ISR",221994.098228842
2015,"ISR",255158.654521056
2016,"ISR",251399.620108712
2017,"ISR",275179.83690317
2018,"ISR",246406.662323008
2019,"ISR",274155.765764743
2020,"ISR",323293.265326393
2010,"ITA",4151765.53596788
2011,"ITA",4246487.62561298
2012,"ITA",3846684.59961074
2013,"ITA",3995134.27236743
2014,"ITA",4062300.16365066
2015,"ITA",3550135.36892886
2016,"ITA",3693581.62714217
2017,"ITA",3705442.64712755
2018,"ITA",3818017.09424989
2019,"ITA",3702470.70113363
2020,"ITA",3463891.64893817
2010,"JAM",4264.33977705332
2011,"JAM",4953.91790627779
2012,"JAM",9682.63010059468
2013,"JAM",6903.56433802649
2014,"JAM",5968.88590670121
2015,"JAM",8171.54536731342
2016,"JAM",6849.26936407516
2017,"JAM",6168.47833038071
2018,"JAM",6150.69402598503
2019,"JAM",6379.92732824989
2020,"JAM",6281.74226743705
2010,"JOR",44882.6073835456
2011,"JOR",53406.9006681006
2012,"JOR",58005.9284264416
2013,"JOR",73424.2070942631
2014,"JOR",72086.1347146123
2015,"JOR",88054.9396914516
2016,"JOR",98747.3195064503
2017,"JOR",96504.2587310258
2018,"JOR",108501.67922328
2019,"JOR",115760.855709881
2020,"JOR",134424.499758198
2010,"JPN",4476339.95001571
2011,"JPN",4695675.6677563
2012,"JPN",4811383.05839768
2013,"JPN",4202118.65374216
2014,"JPN",3559739.82816059
2015,"JPN",3652078.93350982
2016,"JPN",4204126.0742027
2017,"JPN",3879934.72582612
2018,"JPN",3721759.36580871
2019,"JPN",3764748.24774607
2020,"JPN",3912519.85740968
2010,"KAZ",237074.177619382
2011,"KAZ",247581.171175378
2012,"KAZ",276649.41257102
2013,"KAZ",306865.254876256
2014,"KAZ",338016.636482042
2015,"KAZ",216289.320484609
2016,"KAZ",197245.392775669
2017,"KAZ",307768.447054095
2018,"KAZ",245341.318461661
2019,"KAZ",245181.643919287
2020,"KAZ",258150.272835568
2010,"KEN",61137.6008579534
2011,"KEN",54021.5260929321
2012,"KEN",72028.7820549405
2013,"KEN",86975.5679685651
2014,"KEN",116883.035580713
2015,"KEN",156487.132960183
2016,"KEN",170204.86875156
2017,"KEN",136562.989316653
2018,"KEN",150984.388803046
2019,"KEN",163827.848235221
2020,"KEN",182161.137211735
2010,"KGZ",52646.1506037952
2011,"KGZ",57391.8538556782
2012,"KGZ",53776.673744473
2013,"KGZ",51802.2564084999
2014,"KGZ",55260.9559570123
2015,"KGZ",52676.3966622728
2016,"KGZ",82445.6731513791
2017,"KGZ",86379.4501619303
2018,"KGZ",81933.8844091306
2019,"KGZ",90711.5622484707
2020,"KGZ",53754.0869182517
2010,"KHM",133343.57608661
2011,"KHM",170771.201743024
2012,"KHM",182709.010284626
2013,"KHM",193869.42835853
2014,"KHM",214216.343843432
2015,"KHM",240426.365288986
2016,"KHM",256827.06469862
2017,"KHM",293952.626686843
2018,"KHM",327903.179516387
2019,"KHM",349996.519216347
2020,"KHM",312959.868194997
2010,"KIR",44.689537823715
2011,"KIR",57.5815414299338
2012,"KIR",127.397598379264
2013,"KIR",71.5914373881245
2014,"KIR",112.743278252
2015,"KIR",159.472329414608
2016,"KIR",110.674002983664
2017,"KIR",96.5509350738101
2018,"KIR",115.831427753637
2019,"KIR",90.3346490882543
2020,"KIR",109.53764516299
2010,"KOR",750155.703041644
2011,"KOR",737583.336524029
2012,"KOR",760494.384952342
2013,"KOR",876609.058431861
2014,"KOR",1000514.30516096
2015,"KOR",1165917.94564747
2016,"KOR",1190295.77848553
2017,"KOR",1137573.57408703
2018,"KOR",1168711.07405062
2019,"KOR",1175299.27598311
2020,"KOR",1228554.18162101
2010,"KWT",54246.7463231225
2011,"KWT",70222.955523263
2012,"KWT",86950.5365826807
2013,"KWT",91033.153037009
2014,"KWT",86649.7563939279
2015,"KWT",63566.6384064093
2016,"KWT",55279.3105761626
2017,"KWT",59568.6914910515
2018,"KWT",65944.1259286856
2019,"KWT",65744.174303597
2020,"KWT",69920.6088565909
2010,"LAO",15043.2564010465
2011,"LAO",11569.0868182958
2012,"LAO",12372.6400435258
2013,"LAO",13219.9401127177
2014,"LAO",12698.1819258617
2015,"LAO",13279.9510565031
2016,"LAO",14971.4504217326
2017,"LAO",13307.7866828119
2018,"LAO",13307.7866828119
2019,"LAO",13307.7866828119
2020,"LAO",13307.7866828119
2010,"LBN",29266.0034430084
2011,"LBN",28159.1148644247
2012,"LBN",36040.2617448428
2013,"LBN",39870.1433906438
2014,"LBN",41896.6516866908
2015,"LBN",45476.0157550917
2016,"LBN",44883.9352177009
2017,"LBN",47141.0298679873
2018,"LBN",42797.6998597357
2019,"LBN",39154.0448126416
2020,"LBN",27004.4504911294
2010,"LBY",51309.6289725668
2011,"LBY",29827.0137707067
2012,"LBY",74962.2453568262
2013,"LBY",54077.1035562336
2014,"LBY",42082.0842586424
2015,"LBY",48447.6358822671
2016,"LBY",37631.5702910006
2017,"LBY",43936.6916915604
2018,"LBY",47863.2642824982
2019,"LBY",49607.1108742541
2020,"LBY",47974.4348936556
2010,"LKA",416877.39089618
2011,"LKA",416877.39089618
2012,"LKA",416877.39089618
2013,"LKA",416877.39089618
2014,"LKA",416877.39089618
2015,"LKA",401194.33569512
2016,"LKA",430123.678967615
2017,"LKA",433206.783593305
2018,"LKA",370768.785583598
2019,"LKA",404631.176969227
2020,"LKA",461339.584568216
2010,"LSO",13555.2168525204
2011,"LSO",13722.6357014237
2012,"LSO",14110.3696080627
2013,"LSO",16238.0450791254
2014,"LSO",16052.0389517427
2015,"LSO",17213.0196871752
2016,"LSO",15672.4878801416
2017,"LSO",17431.8123811259
2018,"LSO",15463.7265967463
2019,"LSO",16001.377403311
2020,"LSO",14627.4830490168
2010,"LTU",61991.1500724166
2011,"LTU",64633.6072590815
2012,"LTU",64047.8606846392
2013,"LTU",72040.87378102
2014,"LTU",84577.7067975069
2015,"LTU",77286.5194404417
2016,"LTU",83790.6977289882
2017,"LTU",85318.4970668608
2018,"LTU",91395.0230219316
2019,"LTU",87788.2708694514
2020,"LTU",91001.2566557721
2010,"LUX",18550.239873786
2011,"LUX",18859.8566902728
2012,"LUX",16756.3817829167
2013,"LUX",16037.6874856255
2014,"LUX",15644.6340247868
2015,"LUX",13172.5374048603
2016,"LUX",13829.8687157657
2017,"LUX",14056.3645979669
2018,"LUX",14249.67152771
2019,"LUX",15324.7096714565
2020,"LUX",14404.133194319
2010,"LVA",32139.7263561942
2011,"LVA",33149.8296754118
2012,"LVA",37188.3783597712
2013,"LVA",42058.6037901197
2014,"LVA",41739.9297887148
2015,"LVA",34475.1957230617
2016,"LVA",35317.1882151232
2017,"LVA",35442.6779825268
2018,"LVA",36328.1393618194
2019,"LVA",38692.9107253695
2020,"LVA",37293.9389474032
2010,"MAC",32524.7248731734
2011,"MAC",33842.2146983505
2012,"MAC",34487.3568563474
2013,"MAC",40210.6716024557
2014,"MAC",38055.1362944809
2015,"MAC",39386.5242172149
2016,"MAC",40765.8654482164
2017,"MAC",38275.5462092989
2018,"MAC",46158.6945188159
2019,"MAC",52378.5825862719
2020,"MAC",26615.2607499367
2010,"MAR",255942.339994454
2011,"MAR",254097.211713977
2012,"MAR",243552.677347927
2013,"MAR",273043.27813022
2014,"MAR",303678.655441033
2015,"MAR",289451.052587371
2016,"MAR",305502.66630886
2017,"MAR",320337.983576613
2018,"MAR",322292.604779187
2019,"MAR",316833.907098907
2020,"MAR",275441.005030016
2010,"MDA",26111.3500839017
2011,"MDA",28509.9695313643
2012,"MDA",30913.5515514239
2013,"MDA",30387.8484850488
2014,"MDA",30664.8930810611
2015,"MDA",26793.3558320129
2016,"MDA",30858.8263040331
2017,"MDA",35687.4452756723
2018,"MDA",37636.7007710755
2019,"MDA",34147.2042809298
2020,"MDA",35839.7233457041
2010,"MDG",32293.7553400329
2011,"MDG",38570.2211808743
2012,"MDG",44931.0281565892
2013,"MDG",48421.7002818344
2014,"MDG",47212.674540802
2015,"MDG",47441.7554571691
2016,"MDG",51449.8054285261
2017,"MDG",50540.9173152125
2018,"MDG",50224.9113680273
2019,"MDG",54086.8790695922
2020,"MDG",59349.1065032537
2010,"MDV",2050.94444760965
2011,"MDV",2050.94444760965
2012,"MDV",2050.94444760965
2013,"MDV",2050.94444760965
2014,"MDV",1433.37854885682
2015,"MDV",1739.65956592316
2016,"MDV",2040.3807397444
2017,"MDV",2039.24234999909
2018,"MDV",2579.90024724219
2019,"MDV",2618.11031214174
2020,"MDV",1905.93936936015
2010,"MEX",973653.077815522
2011,"MEX",1021241.76135501
2012,"MEX",1095198.5429844
2013,"MEX",1177519.49896112
2014,"MEX",1218939.56711877
2015,"MEX",1189313.71261363
2016,"MEX",1105012.82105839
2017,"MEX",1031592.84739055
2018,"MEX",1020577.94844844
2019,"MEX",1005969.31773625
2020,"MEX",861150.635832346
2010,"MHL",61.2670904839978
2011,"MHL",58.236470129407
2012,"MHL",80.0928130471057
2013,"MHL",98.503982047546
2014,"MHL",201.718417990882
2015,"MHL",205.306670785706
2016,"MHL",218.671968708296
2017,"MHL",197.989620518789
2018,"MHL",256.572676475378
2019,"MHL",152.054737452955
2020,"MHL",706.833069554127
2010,"MKD",36728.6754976995
2011,"MKD",34475.9672790518
2012,"MKD",34973.3975868064
2013,"MKD",39417.995447408
2014,"MKD",38425.0451703938
2015,"MKD",33741.3827022893
2016,"MKD",34064.1721355671
2017,"MKD",32895.4580399833
2018,"MKD",32095.9740370982
2019,"MKD",29407.4713122387
2020,"MKD",28297.663510535
2010,"MLI",15622.0745570528
2011,"MLI",20273.3703038781
2012,"MLI",26721.1917072189
2013,"MLI",23185.5385821706
2014,"MLI",27455.0074517117
2015,"MLI",20260.3353963221
2016,"MLI",21491.6757538557
2017,"MLI",22175.6484649904
2018,"MLI",32584.3841868647
2019,"MLI",29183.2875441193
2020,"MLI",12391.9828233879
2010,"MLT",4882.45126132509
2011,"MLT",6331.28788803745
2012,"MLT",8110.81084195104
2013,"MLT",9780.96065615662
2014,"MLT",8685.88302182829
2015,"MLT",6063.58343573644
2016,"MLT",4957.25081158479
2017,"MLT",5578.79326742637
2018,"MLT",6909.48286176058
2019,"MLT",7259.95417847429
2020,"MLT",4990.42768660868
2010,"MMR",218601.925129541
2011,"MMR",321535.51813115
2012,"MMR",479461.810156514
2013,"MMR",264086.968587099
2014,"MMR",196652.203081882
2015,"MMR",186587.228851077
2016,"MMR",197000.229433225
2017,"MMR",223490.700254331
2018,"MMR",308712.277606005
2019,"MMR",377992.621408727
2020,"MMR",372349.658945129
2010,"MNE",3834.81233646685
2011,"MNE",4010.30448621895
2012,"MNE",3792.92996558432
2013,"MNE",4114.02682665841
2014,"MNE",4521.02574448552
2015,"MNE",3836.32692613197
2016,"MNE",3908.87587710432
2017,"MNE",4043.66736793751
2018,"MNE",4237.88989520818
2019,"MNE",4616.50615658515
2020,"MNE",3879.47245608695
2010,"MNG",12225.485618926
2011,"MNG",15701.8146585025
2012,"MNG",20473.9542332359
2013,"MNG",20198.7258836722
2014,"MNG",17135.6943023403
2015,"MNG",16092.9211836506
2016,"MNG",9761.91794301464
2017,"MNG",8060.37907500272
2018,"MNG",7895.84961546209
2019,"MNG",7658.0887971589
2020,"MNG",9102.75709621814
2010,"MNP",140.986854295109
2011,"MNP",128.955307040497
2012,"MNP",125.289510584452
2013,"MNP",148.98589497
2014,"MNP",126.194958416174
2015,"MNP",107.618101257071
2016,"MNP",97.1988213059978
2017,"MNP",278.024007406266
2018,"MNP",173.31317844954
2019,"MNP",158.207629447992
2020,"MNP",148.47742631731
2010,"MOZ",10479.6054932129
2011,"MOZ",11221.9985027348
2012,"MOZ",11047.1887983347
2013,"MOZ",13935.3600170169
2014,"MOZ",14194.2039232929
2015,"MOZ",16686.2229422317
2016,"MOZ",10984.8271909445
2017,"MOZ",12133.0842256131
2018,"MOZ",10963.3318671999
2019,"MOZ",12429.6883463919
2020,"MOZ",14993.8282421718
2010,"MRT",4603.58880878198
2011,"MRT",6944.61829857599
2012,"MRT",6286.11184261953
2013,"MRT",8724.06398825033
2014,"MRT",10379.0971313573
2015,"MRT",12288.9236503276
2016,"MRT",16893.6788648858
2017,"MRT",15447.6099729519
2018,"MRT",15823.7553823044
2019,"MRT",12229.3755463946
2020,"MRT",8595.5931182886
2010,"MUS",26275.9254860685
2011,"MUS",29346.090359492
2012,"MUS",27688.0089510575
2013,"MUS",29127.8807178801
2014,"MUS",30933.1988206522
2015,"MUS",30719.1042905453
2016,"MUS",28934.3026763945
2017,"MUS",28840.4236065002
2018,"MUS",29462.83408992
2019,"MUS",28207.7578767001
2020,"MUS",23399.2141474699
2010,"MYS",169442.734890409
2011,"MYS",194621.608819199
2012,"MYS",252802.913697991
2013,"MYS",297106.542107496
2014,"MYS",294548.307429755
2015,"MYS",300165.012666935
2016,"MYS",263755.890505694
2017,"MYS",242386.400431575
2018,"MYS",245752.130730341
2019,"MYS",282914.963473365
2020,"MYS",296750.831754027
2010,"NAM",9700.33059440535
2011,"NAM",11367.9140062244
2012,"NAM",12607.7771421305
2013,"NAM",13210.8387239229
2014,"NAM",12442.4214366385
2015,"NAM",9396.20188694895
2016,"NAM",7610.9135718027
2017,"NAM",9619.81085085273
2018,"NAM",8937.00047453715
2019,"NAM",8157.95779112976
2020,"NAM",7260.01068085186
2010,"NCL",3271.41773555299
2011,"NCL",3540.89010532199
2012,"NCL",3499.81788084057
2013,"NCL",3625.573310911
2014,"NCL",3636.3717715519
2015,"NCL",3462.56314022997
2016,"NCL",2909.13713755658
2017,"NCL",2887.83847136285
2018,"NCL",3354.20119416598
2019,"NCL",3354.20119416598
2020,"NCL",3354.20119416598
2010,"NER",4731.56751583567
2011,"NER",7013.65618918803
2012,"NER",8262.33213355008
2013,"NER",7749.91546159454
2014,"NER",5687.45438019492
2015,"NER",4128.57923327103
2016,"NER",5580.50124420506
2017,"NER",4239.1695728315
2018,"NER",8200.41766762725
2019,"NER",6209.49599020312
2020,"NER",4530.83604007047
2010,"NGA",179436.497437673
2011,"NGA",130030.421408876
2012,"NGA",254966.948393273
2013,"NGA",307521.399148335
2014,"NGA",467249.295212534
2015,"NGA",515478.140850283
2016,"NGA",376064.749483434
2017,"NGA",431252.076330437
2018,"NGA",313654.837936512
2019,"NGA",364014.256880487
2020,"NGA",853596.95059887
2010,"NIC",40775.1807858675
2011,"NIC",47204.0423251324
2012,"NIC",51038.8139329694
2013,"NIC",54494.1691786218
2014,"NIC",55414.9876402829
2015,"NIC",62845.2603035521
2016,"NIC",70787.4299393758
2017,"NIC",69794.9233365629
2018,"NIC",74379.4615891143
2019,"NIC",79234.5722741823
2020,"NIC",72959.0251925868
2010,"NLD",733184.179952025
2011,"NLD",778711.571098938
2012,"NLD",697421.704095966
2013,"NLD",754064.064391918
2014,"NLD",807254.310930299
2015,"NLD",651084.74672898
2016,"NLD",729056.309400871
2017,"NLD",746677.190205143
2018,"NLD",790009.112012412
2019,"NLD",794575.388289597
2020,"NLD",821855.687770254
2010,"NOR",265439.482031822
2011,"NOR",298121.135634985
2012,"NOR",313987.440332776
2013,"NOR",331737.721691977
2014,"NOR",295563.908777793
2015,"NOR",241046.062150845
2016,"NOR",239049.227681994
2017,"NOR",257510.479806439
2018,"NOR",271563.812549978
2019,"NOR",245620.795030638
2020,"NOR",250113.069106491
2010,"NPL",59949.7740101542
2011,"NPL",87450.0317731468
2012,"NPL",99797.2033554502
2013,"NPL",99865.5325397858
2014,"NPL",99091.9692335111
2015,"NPL",55848.9907865569
2016,"NPL",61839.0175475101
2017,"NPL",66516.8165562602
2018,"NPL",68675.4632298886
2019,"NPL",74224.548436755
2020,"NPL",54534.75277502
2010,"NRU",20.3400964365222
2011,"NRU",23.3110214627503
2012,"NRU",82.2515116540644
2013,"NRU",726.91019164671
2014,"NRU",172.007905159524
2015,"NRU",79.6188740092489
2016,"NRU",72.7424453753498
2017,"NRU",37.7284061131016
2018,"NRU",42.1857745629847
2019,"NRU",40.232724060973
2020,"NRU",25.7274935831687
2010,"NZL",113352.014701314
2011,"NZL",143845.660201932
2012,"NZL",140032.539300278
2013,"NZL",144239.680582384
2014,"NZL",146150.815523199
2015,"NZL",149642.677115845
2016,"NZL",149680.51396693
2017,"NZL",148108.21402321
2018,"NZL",142688.583153956
2019,"NZL",141277.416545909
2020,"NZL",155427.770033884
2010,"OMN",21597.1606876355
2011,"OMN",22430.8102372709
2012,"OMN",33308.9348569767
2013,"OMN",31940.9994080833
2014,"OMN",31366.9722354326
2015,"OMN",22020.2227309719
2016,"OMN",26185.8221439985
2017,"OMN",36517.6625660319
2018,"OMN",48983.5218874786
2019,"OMN",50957.7381182718
2020,"OMN",40973.6685429707
2010,"PAK",1287086.35824175
2011,"PAK",1392980.65495707
2012,"PAK",1490610.76806358
2013,"PAK",1499160.44479513
2014,"PAK",1544544.54398884
2015,"PAK",1793722.92830588
2016,"PAK",2010406.0631512
2017,"PAK",2237535.05457275
2018,"PAK",2228345.27471511
2019,"PAK",2009784.14221439
2020,"PAK",1877234.24414444
2010,"PAN",94697.9452483075
2011,"PAN",101578.22888817
2012,"PAN",122165.538779722
2013,"PAN",107376.444727131
2014,"PAN",111186.581609599
2015,"PAN",125644.633578378
2016,"PAN",113460.619671016
2017,"PAN",116236.155446259
2018,"PAN",66681.0151655206
2019,"PAN",78379.3990400741
2020,"PAN",93695.6326936207
2010,"PER",150229.422902133
2011,"PER",169191.518464331
2012,"PER",200835.076203615
2013,"PER",203987.342455299
2014,"PER",209458.932775033
2015,"PER",191616.390889597
2016,"PER",183780.936345654
2017,"PER",187175.265813673
2018,"PER",203489.457126293
2019,"PER",198634.511450512
2020,"PER",189245.572851842
2010,"PHL",199438.004767823
2011,"PHL",247680.794846267
2012,"PHL",310751.124718214
2013,"PHL",339255.984663336
2014,"PHL",329525.503943116
2015,"PHL",374767.899467079
2016,"PHL",384297.853134193
2017,"PHL",356427.855645946
2018,"PHL",322828.748110118
2019,"PHL",399294.150951055
2020,"PHL",400943.940370387
2010,"POL",735545.745981901
2011,"POL",788813.815773914
2012,"POL",754555.925466197
2013,"POL",809696.681230748
2014,"POL",871424.621788293
2015,"POL",842814.203329649
2016,"POL",876517.595777018
2017,"POL",941748.610133825
2018,"POL",1072101.34494542
2019,"POL",1096037.92699431
2020,"POL",1164877.3105134
2010,"PRT",516609.823050828
2011,"PRT",522018.237327253
2012,"PRT",440977.393421443
2013,"PRT",468780.628375488
2014,"PRT",482887.80821533
2015,"PRT",426191.316455317
2016,"PRT",446954.292468066
2017,"PRT",445999.111253454
2018,"PRT",461293.433867287
2019,"PRT",428432.285602703
2020,"PRT",418816.573329042
2010,"PRY",21207.5150129205
2011,"PRY",23751.5289878239
2012,"PRY",27318.6278528645
2013,"PRY",26031.8507164704
2014,"PRY",26615.4204843964
2015,"PRY",27094.1212550234
2016,"PRY",29374.6164374737
2017,"PRY",35171.9193004231
2018,"PRY",33496.2354516403
2019,"PRY",28564.7349286167
2020,"PRY",28896.8499895872
2010,"PSE",7877.04737342723
2011,"PSE",9762.58310861698
2012,"PSE",10310.4351237631
2013,"PSE",12108.7232591058
2014,"PSE",13313.7862130764
2015,"PSE",13277.9031039883
2016,"PSE",14285.4354832826
2017,"PSE",14527.5072856166
2018,"PSE",13704.8310386758
2019,"PSE",14160.2407390277
2020,"PSE",13889.894619912
2010,"PYF",2887.24414860765
2011,"PYF",2887.24414860765
2012,"PYF",2887.24414860765
2013,"PYF",2887.24414860765
2014,"PYF",2887.24414860765
2015,"PYF",2887.24414860765
2016,"PYF",2887.24414860765
2017,"PYF",3258.98742909119
2018,"PYF",2887.24414860765
2019,"PYF",2732.56960699182
2020,"PYF",2670.17540973995
2010,"QAT",48477.1749202818
2011,"QAT",54352.919056364
2012,"QAT",46573.9284467616
2013,"QAT",70239.968785793
2014,"QAT",71506.4771274964
2015,"QAT",58449.5678465604
2016,"QAT",47749.5700861845
2017,"QAT",49817.7357339136
2018,"QAT",60103.3083837397
2019,"QAT",53723.1075528315
2020,"QAT",46658.2956405819
2010,"ROU",446363.836071085
2011,"ROU",479015.102404035
2012,"ROU",456406.827613088
2013,"ROU",450817.489592278
2014,"ROU",466209.548105237
2015,"ROU",419018.977209346
2016,"ROU",422694.416511139
2017,"ROU",433518.406658107
2018,"ROU",462253.161296576
2019,"ROU",439979.34462226
2020,"ROU",412808.535470799
2010,"RUS",1175163.31248164
2011,"RUS",1488055.72879142
2012,"RUS",1722346.77594957
2013,"RUS",1897215.81624253
2014,"RUS",1770731.59189314
2015,"RUS",1143998.02531579
2016,"RUS",1097706.82010568
2017,"RUS",1224958.32197792
2018,"RUS",1236622.0593869
2019,"RUS",1214931.25035052
2020,"RUS",1126764.61158164
2010,"RWA",3310.20020273741
2011,"RWA",3224.45057873767
2012,"RWA",4153.3778789877
2013,"RWA",4641.43556937611
2014,"RWA",4822.02244759523
2015,"RWA",5217.7765020086
2016,"RWA",3990.39942424672
2017,"RWA",3314.10224987003
2018,"RWA",5222.34894657886
2019,"RWA",4761.74786222666
2020,"RWA",3405.88342907229
2010,"SAU",272454.166092776
2011,"SAU",349131.876043463
2012,"SAU",419623.640298847
2013,"SAU",407964.143129305
2014,"SAU",393320.616044947
2015,"SAU",375224.285612031
2016,"SAU",427023.689422792
2017,"SAU",437746.856276625
2018,"SAU",421758.647893763
2019,"SAU",479330.303191822
2020,"SAU",481540.530797394
2010,"SDN",47736.3188054714
2011,"SDN",61734.6948591889
2012,"SDN",66320.3847591063
2013,"SDN",86850.1892764902
2014,"SDN",1474960.61150357
2015,"SDN",1811959.72564321
2016,"SDN",1616307.70730526
2017,"SDN",1755631.37531567
2018,"SDN",1651233.18782552
2019,"SDN",2485025.42777292
2020,"SDN",4777645.58196747
2010,"SEN",15551.3560140695
2011,"SEN",17078.7984907453
2012,"SEN",18198.6106235007
2013,"SEN",22756.7261104948
2014,"SEN",30129.2412575495
2015,"SEN",36962.0755513943
2016,"SEN",42146.6369765638
2017,"SEN",39018.2141520229
2018,"SEN",36258.7245194535
2019,"SEN",36968.3769978904
2020,"SEN",39212.8434678679
2010,"SGP",48198.1781256347
2011,"SGP",52191.7053299423
2012,"SGP",63015.8890943399
2013,"SGP",75542.0398576996
2014,"SGP",75757.8008971767
2015,"SGP",80002.9240404188
2016,"SGP",78173.8050790191
2017,"SGP",64794.5563895571
2018,"SGP",68712.4954231498
2019,"SGP",73150.6605837337
2020,"SGP",76918.7533665334
2010,"SLB",343.603168861866
2011,"SLB",358.420060334222
2012,"SLB",313.409666647197
2013,"SLB",290.789003299122
2014,"SLB",303.166178333345
2015,"SLB",503.792357847821
2016,"SLB",546.311441896033
2017,"SLB",599.284015462828
2018,"SLB",583.911469422755
2019,"SLB",535.882663683211
2020,"SLB",765.030944381446
2010,"SLE",1643.42061378711
2011,"SLE",1404.54674524051
2012,"SLE",1418.93048286635
2013,"SLE",1399.01330299926
2014,"SLE",2109.82622016003
2015,"SLE",2361.83838375755
2016,"SLE",1974.98108951535
2017,"SLE",2153.7535596436
2018,"SLE",2038.66518288265
2019,"SLE",2533.51659299085
2020,"SLE",2800.28655342022
2010,"SLV",120468.085002017
2011,"SLV",120241.640059242
2012,"SLV",123118.963190081
2013,"SLV",133433.214200865
2014,"SLV",126860.686834221
2015,"SLV",135537.028549838
2016,"SLV",136312.736730274
2017,"SLV",138978.691114166
2018,"SLV",140670.504929068
2019,"SLV",134148.065059823
2020,"SLV",123085.108589292
2010,"SMR",655.242795663421
2011,"SMR",655.242795663421
2012,"SMR",655.242795663421
2013,"SMR",655.242795663421
2014,"SMR",655.242795663421
2015,"SMR",611.426042901215
2016,"SMR",722.10726604576
2017,"SMR",680.424924155709
2018,"SMR",696.111790573315
2019,"SMR",616.453990641809
2020,"SMR",604.932759662719
2010,"SOM",5214.27332479808
2011,"SOM",5214.27332479808
2012,"SOM",5214.27332479808
2013,"SOM",2056.44022964378
2014,"SOM",2675.78080819456
2015,"SOM",4556.78337146362
2016,"SOM",5494.84802876349
2017,"SOM",5619.33510909399
2018,"SOM",5984.20849247295
2019,"SOM",7223.76295153157
2020,"SOM",8103.02760722071
2010,"SRB",63357.5132243383
2011,"SRB",72106.6219108706
2012,"SRB",67931.1057914764
2013,"SRB",71670.8126461103
2014,"SRB",70890.4481852422
2015,"SRB",60929.7906429987
2016,"SRB",66589.1229281025
2017,"SRB",72691.2332791397
2018,"SRB",77262.4163321111
2019,"SRB",77532.3423236745
2020,"SRB",79858.9423156442
2010,"SSD",1044.03371024762
2011,"SSD",1044.03371024762
2012,"SSD",710.220208453645
2013,"SSD",801.923645494449
2014,"SSD",1107.51989617824
2015,"SSD",1556.47109086413
2016,"SSD",1044.03371024762
2017,"SSD",1044.03371024762
2018,"SSD",1044.03371024762
2019,"SSD",1044.03371024762
2020,"SSD",1044.03371024762
2010,"SUR",2076.28485731777
2011,"SUR",2076.28485731777
2012,"SUR",2076.28485731777
2013,"SUR",2076.28485731777
2014,"SUR",2076.28485731777
2015,"SUR",2076.28485731777
2016,"SUR",2076.28485731777
2017,"SUR",2076.28485731777
2018,"SUR",2076.28485731777
2019,"SUR",2076.28485731777
2020,"SUR",2076.28485731777
2010,"SVK",117595.988779251
2011,"SVK",126755.827725667
2012,"SVK",115964.16903718
2013,"SVK",121834.577113214
2014,"SVK",128008.155554902
2015,"SVK",115480.862794311
2016,"SVK",117930.194257962
2017,"SVK",123118.208917574
2018,"SVK",129737.807640663
2019,"SVK",129890.135182016
2020,"SVK",122475.99893565
2010,"SVN",71505.088837791
2011,"SVN",75737.6454316085
2012,"SVN",67328.1328309948
2013,"SVN",66497.6094951572
2014,"SVN",70749.6588230653
2015,"SVN",60079.0951929968
2016,"SVN",67265.561186462
