iso_code3,Nation,Region,Income_Level,region_name
DEU,Germany,ECS,HIC,Europe & Central Asia
DNK,Denmark,ECS,HIC,Europe & Central Asia
ESP,Spain,ECS,HIC,Europe & Central Asia
EST,Estonia,ECS,HIC,Europe & Central Asia
FIN,Finland,ECS,HIC,Europe & Central Asia
FRA,France,ECS,HIC,Europe & Central Asia
FRO,Faroe Islands,ECS,HIC,Europe & Central Asia
GBR,United Kingdom,ECS,HIC,Europe & Central Asia
GEO,Georgia,ECS,UMC,Europe & Central Asia
GIB,Gibraltar,ECS,HIC,Europe & Central Asia
GRC,Greece,ECS,HIC,Europe & Central Asia
GRL,Greenland,ECS,HIC,Europe & Central Asia
HRV,Croatia,ECS,HIC,Europe & Central Asia
HUN,Hungary,ECS,HIC,Europe & Central Asia
IMN,Isle of Man,ECS,HIC,Europe & Central Asia
IRL,Ireland,ECS,HIC,Europe & Central Asia
ISL,Iceland,ECS,HIC,Europe & Central Asia
ITA,Italy,ECS,HIC,Europe & Central Asia
KAZ,Kazakhstan,ECS,UMC,Europe & Central Asia
KGZ,Kyrgyz Republic,ECS,LMC,Europe & Central Asia
LIE,Liechtenstein,ECS,HIC,Europe & Central Asia
LTU,Lithuania,ECS,HIC,Europe & Central Asia
LUX,Luxembourg,ECS,HIC,Europe & Central Asia
LVA,Latvia,ECS,HIC,Europe & Central Asia
MCO,Monaco,ECS,HIC,Europe & Central Asia
MDA,Moldova,ECS,UMC,Europe & Central Asia
MKD,North Macedonia,ECS,UMC,Europe & Central Asia
MNE,Montenegro,ECS,UMC,Europe & Central Asia
NLD,Netherlands,ECS,HIC,Europe & Central Asia
NOR,Norway,ECS,HIC,Europe & Central Asia
POL,Poland,ECS,HIC,Europe & Central Asia
PRT,Portugal,ECS,HIC,Europe & Central Asia
ROU,Romania,ECS,HIC,Europe & Central Asia
RUS,Russian Federation,ECS,UMC,Europe & Central Asia
SMR,San Marino,ECS,HIC,Europe & Central Asia
SRB,Serbia,ECS,UMC,Europe & Central Asia
SVK,Slovak Republic,ECS,HIC,Europe & Central Asia
SVN,Slovenia,ECS,HIC,Europe & Central Asia
SWE,Sweden,ECS,HIC,Europe & Central Asia
TJK,Tajikistan,ECS,LMC,Europe & Central Asia
TKM,Turkmenistan,ECS,UMC,Europe & Central Asia
TUR,Turkiye,ECS,UMC,Europe & Central Asia
UKR,Ukraine,ECS,LMC,Europe & Central Asia
UZB,Uzbekistan,ECS,LMC,Europe & Central Asia
XKX,Kosovo,ECS,UMC,Europe & Central Asia
ARE,United Arab Emirates,MEA,HIC,Middle East & North Africa
BHR,Bahrain,MEA,HIC,Middle East & North Africa
DJI,Djibouti,MEA,LMC,Middle East & North Africa
DZA,Algeria,MEA,LMC,Middle East & North Africa
EGY,"Egypt, Arab Rep.",MEA,LMC,Middle East & North Africa
IRN,"Iran, Islamic Rep.",MEA,LMC,Middle East & North Africa
IRQ,Iraq,MEA,UMC,Middle East & North Africa
ISR,Israel,MEA,HIC,Middle East & North Africa
JOR,Jordan,MEA,UMC,Middle East & North Africa
KWT,Kuwait,MEA,HIC,Middle East & North Africa
LBN,Lebanon,MEA,LMC,Middle East & North Africa
LBY,Libya,MEA,UMC,Middle East & North Africa
MAR,Morocco,MEA,LMC,Middle East & North Africa
MLT,Malta,MEA,HIC,Middle East & North Africa
OMN,Oman,MEA,HIC,Middle East & North Africa
PSE,West Bank and Gaza,MEA,LMC,Middle East & North Africa
QAT,Qatar,MEA,HIC,Middle East & North Africa
SAU,Saudi Arabia,MEA,HIC,Middle East & North Africa
SYR,Syrian Arab Republic,MEA,LIC,Middle East & North Africa
TUN,Tunisia,MEA,LMC,Middle East & North Africa
YEM,"Yemen, Rep.",MEA,LIC,Middle East & North Africa
ASM,American Samoa,EAS,UMC,East Asia & Pacific
AUS,Australia,EAS,HIC,East Asia & Pacific
BRN,Brunei Darussalam,EAS,HIC,East Asia & Pacific
CHN,China,EAS,UMC,East Asia & Pacific
FJI,Fiji,EAS,UMC,East Asia & Pacific
FSM,"Micronesia, Fed. Sts.",EAS,LMC,East Asia & Pacific
GUM,Guam,EAS,HIC,East Asia & Pacific
HKG,"Hong Kong SAR, China",EAS,HIC,East Asia & Pacific
IDN,Indonesia,EAS,LMC,East Asia & Pacific
JPN,Japan,EAS,HIC,East Asia & Pacific
KHM,Cambodia,EAS,LMC,East Asia & Pacific
KIR,Kiribati,EAS,LMC,East Asia & Pacific
KOR,"Korea, Rep.",EAS,HIC,East Asia & Pacific
LAO,Lao PDR,EAS,LMC,East Asia & Pacific
MAC,"Macao SAR, China",EAS,HIC,East Asia & Pacific
MHL,Marshall Islands,EAS,UMC,East Asia & Pacific
MMR,Myanmar,EAS,LMC,East Asia & Pacific
MNG,Mongolia,EAS,LMC,East Asia & Pacific
MNP,Northern Mariana Islands,EAS,HIC,East Asia & Pacific
MYS,Malaysia,EAS,UMC,East Asia & Pacific
NCL,New Caledonia,EAS,HIC,East Asia & Pacific
NRU,Nauru,EAS,HIC,East Asia & Pacific
NZL,New Zealand,EAS,HIC,East Asia & Pacific
PHL,Philippines,EAS,LMC,East Asia & Pacific
PLW,Palau,EAS,UMC,East Asia & Pacific
PNG,Papua New Guinea,EAS,LMC,East Asia & Pacific
PRK,"Korea, Dem. People's Rep.",EAS,LIC,East Asia & Pacific
PYF,French Polynesia,EAS,HIC,East Asia & Pacific
SGP,Singapore,EAS,HIC,East Asia & Pacific
SLB,Solomon Islands,EAS,LMC,East Asia & Pacific
THA,Thailand,EAS,UMC,East Asia & Pacific
TLS,Timor-Leste,EAS,LMC,East Asia & Pacific
TON,Tonga,EAS,UMC,East Asia & Pacific
TUV,Tuvalu,EAS,UMC,East Asia & Pacific
VNM,Vietnam,EAS,LMC,East Asia & Pacific
VUT,Vanuatu,EAS,LMC,East Asia & Pacific
WSM,Samoa,EAS,LMC,East Asia & Pacific
BMU,Bermuda,NAC,HIC,North America
CAN,Canada,NAC,HIC,North America
USA,United States,NAC,HIC,North America
