GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "05000","Arkansas",5,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",23402.8,24209.4,26196.2,26482.9,26728.9,28197.4,31047.7,34358.6,36471.6,38324.5,38097.5,38712.9,37071.2,39383.6,41557.9,41893.7,45285.6,46434.2,45517.1,46274.1,46429.6,48983.4,49781.0,53982.1,62000.6,66372.1,(NA)
 "05000","Arkansas",5,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",3808.7,3762.3,4341.6,3928.5,3978.3,4589.6,4469.0,5499.2,6175.8,6650.9,6605.1,6726.7,6463.3,7064.2,7279.6,7758.6,8221.6,8399.2,8381.5,8530.1,8862.8,9257.0,8935.8,5957.4,8267.5,11437.2,(NA)
 "05000","Arkansas",5,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",4168.6,4299.1,5185.8,4908.3,5120.5,5324.4,5572.5,6062.3,6873.4,7272.3,7207.7,7241.5,7118.4,7628.3,7880.9,8326.0,8795.6,8955.3,8950.5,9295.8,9687.9,10084.4,10143.5,10514.4,11711.1,12460.5,(NA)
 "05000","Arkansas",5,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-359.9,-536.8,-844.2,-979.8,-1142.1,-734.8,-1103.5,-563.2,-697.6,-621.4,-602.6,-514.7,-655.1,-564.1,-601.3,-567.4,-573.9,-556.0,-569.0,-765.7,-825.1,-827.5,-1207.6,-4557.0,-3443.6,-1023.2,(NA)
 "06000","California",8,SAGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",1441226.4,1538612.3,1655438.5,1784320.6,1784567.7,1821509.5,1895287.6,1956745.5,2042141.0,2120435.4,2168940.4,2192331.8,2110679.4,2153852.8,2192887.2,2255437.3,2340335.3,2428675.7,2545979.5,2623711.7,2740550.3,2850970.3,2962792.1,2925146.9,3146185.3,3167460.8,3233151.0
 "06000","California",8,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",52.589,56.142,60.405,65.108,65.117,66.465,69.157,71.400,74.516,77.373,79.143,79.996,77.017,78.592,80.016,82.299,85.397,88.620,92.900,95.737,100.000,104.029,108.109,106.736,114.801,115.578,117.975
 "06000","California",8,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",1068048.6,1143672.5,1239773.5,1354791.3,1373270.8,1419321.8,1498578.0,1585081.4,1698858.4,1812161.6,1900220.4,1946241.5,1879809.5,1938603.3,2014050.3,2108873.1,2223300.9,2342218.8,2487156.4,2586485.2,2740550.3,2899530.9,3062158.9,3068809.4,3416939.4,3641643.4,3862171.4
 "06000","California",8,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",574406.5,625411.7,681140.2,768407.2,786930.1,793788.4,827156.6,881959.4,927318.3,981317.3,1030161.7,1042593.3,990447.0,1010962.1,1059937.3,1114765.6,1162038.5,1229811.6,1318280.3,1378246.5,1460857.7,1540875.1,1624291.2,1675326.1,1849531.4,1930487.2,(NA)
 "06000","California",8,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",428090.2,448831.5,485290.8,507233.2,511891.3,538026.3,582161.7,606412.2,669729.7,717820.3,751585.7,777266.2,767583.1,802380.6,820964.8,863471.2,920966.2,962693.6,1009062.4,1048498.2,1113553.2,1176918.8,1232346.9,1251175.4,1394698.7,1477081.5,(NA)
 "06000","California",8,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",65551.9,69429.3,73342.5,79150.9,74449.5,87507.2,89259.7,96709.9,101810.3,113024.0,118473.0,126381.9,121779.4,125260.6,133148.2,130636.3,140296.2,149713.7,159813.8,159740.5,166139.4,181736.9,205520.9,142307.9,172709.3,234074.7,(NA)
 "06000","California",8,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",70407.3,73616.8,78033.4,83624.8,86865.9,92984.6,94891.3,102519.2,108478.4,119340.9,124480.2,132426.4,129062.7,132269.1,140393.7,137492.5,147158.3,156627.7,166553.2,167061.0,173541.6,189440.0,213596.2,206827.7,229724.2,252965.5,(NA)
 "06000","California",8,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-4855.4,-4187.5,-4690.8,-4473.9,-12416.4,-5477.5,-5631.6,-5809.3,-6668.1,-6316.9,-6007.2,-6044.5,-7283.3,-7008.5,-7245.5,-6856.2,-6862.2,-6914.1,-6739.4,-7320.5,-7402.2,-7703.1,-8075.3,-64519.8,-57014.8,-18890.8,(NA)
 "08000","Colorado",7,SAGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",189445.6,206449.1,221040.8,238739.3,242650.1,243701.9,246017.4,250069.3,261992.9,268190.8,278733.8,281803.3,275659.1,279385.6,283963.8,289339.5,301484.1,315399.0,330526.1,337685.2,350209.1,365204.5,383596.0,380921.9,406961.5,416114.4,428040.4
 "08000","Colorado",7,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",54.095,58.950,63.117,68.171,69.287,69.588,70.249,71.406,74.810,76.580,79.591,80.467,78.713,79.777,81.084,82.619,86.087,90.060,94.380,96.424,100.000,104.282,109.533,108.770,116.205,118.819,122.224
 "08000","Colorado",7,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",136624.4,149653.7,162411.7,179303.3,185848.9,189604.6,195137.6,203743.3,220803.8,232853.6,248571.6,257606.1,249817.1,256771.8,266114.1,274738.8,291265.3,309223.9,320895.9,330565.9,350209.1,373923.1,397701.6,397612.2,447051.7,491289.0,520389.0
 "08000","Colorado",7,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",75821.2,83860.3,91762.2,103397.0,107385.7,106675.0,108767.0,114039.1,120659.7,127954.9,135477.3,140438.3,136615.5,138303.8,142990.0,150787.6,156896.8,167908.9,176545.2,182006.1,193227.2,205553.2,219298.9,224468.4,244737.3,265595.9,(NA)
 "08000","Colorado",7,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",52718.9,57096.8,61295.7,65733.5,68083.2,71788.7,75319.3,77630.8,87237.2,91156.0,98460.1,102460.5,98879.0,101734.2,105789.2,107617.2,117442.1,123433.0,125797.0,128876.1,135696.0,145506.9,153921.7,162129.0,183147.5,197252.2,(NA)
 "08000","Colorado",7,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",8084.3,8696.6,9353.8,10172.8,10380.0,11140.9,11051.3,12073.4,12906.8,13742.7,14634.1,14707.2,14322.6,16733.8,17334.9,16334.0,16926.4,17882.0,18553.6,19683.8,21286.0,22863.0,24480.9,11014.8,19166.8,28441.0,(NA)
 "08000","Colorado",7,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",8627.3,9300.7,10085.4,10888.2,11256.1,11770.9,11904.2,12776.0,13867.7,14549.6,15385.7,15516.0,15204.8,17615.1,18320.2,17285.1,17945.0,18930.2,19537.3,20756.7,22422.6,23975.2,25712.7,25721.1,28184.0,30956.6,(NA)
 "08000","Colorado",7,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-543.0,-604.1,-731.6,-715.4,-876.1,-629.9,-852.8,-702.5,-960.8,-806.8,-751.6,-808.8,-882.2,-881.4,-985.3,-951.1,-1018.6,-1048.2,-983.7,-1072.9,-1136.7,-1112.2,-1231.8,-14706.3,-9017.2,-2515.6,(NA)
 "09000","Connecticut",1,SAGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",205965.2,212255.0,218860.0,233874.2,236338.1,234307.3,236719.1,252680.8,258203.7,269478.6,278485.4,277793.2,265530.8,266773.4,261555.8,263649.9,258911.0,260605.8,268869.8,268196.2,273875.1,274582.8,274219.4,258625.0,268846.7,276668.8,282478.5
 "09000","Connecticut",1,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.204,77.501,79.912,85.394,86.294,85.553,86.433,92.261,94.278,98.395,101.683,101.431,96.953,97.407,95.502,96.266,94.536,95.155,98.172,97.926,100.000,100.258,100.126,94.432,98.164,101.020,103.141
 "09000","Connecticut",1,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",138467.0,145299.2,152093.7,165523.4,171124.4,172929.7,177814.8,194722.9,204504.6,219812.2,232626.8,236110.7,231628.0,234022.2,233058.7,239907.5,240549.2,247114.7,260648.5,264760.4,273875.1,280535.4,285466.4,275801.9,295907.5,319344.8,340181.3
 "09000","Connecticut",1,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",77441.6,82628.7,87402.6,94350.0,97527.3,96961.2,99706.5,105999.2,110582.6,115344.3,122626.5,124145.1,118312.8,120492.0,124609.6,127391.2,129222.2,133125.7,137619.9,138928.9,140537.4,143441.9,146514.1,146288.7,154722.9,165993.3,(NA)
 "09000","Connecticut",1,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",50705.4,51704.7,53537.5,59729.3,62158.9,64228.2,65507.9,75718.5,80359.9,90850.4,95606.1,97607.3,98902.5,99022.3,93303.2,95560.0,94182.7,96136.1,105229.6,107976.0,114927.7,117126.1,118805.3,117606.3,125627.9,132502.1,(NA)
 "09000","Connecticut",1,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",10319.9,10965.8,11153.6,11444.2,11438.2,11740.3,12600.4,13005.2,13562.1,13617.5,14394.2,14358.3,14412.6,14507.9,15145.9,16956.3,17144.3,17852.8,17799.1,17855.5,18410.0,19967.4,20147.0,11906.9,15556.7,20849.4,(NA)
 "09000","Connecticut",1,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",10734.0,11318.6,11520.9,11810.0,11819.2,12134.2,13050.2,13484.4,14101.7,14128.8,14883.2,14847.3,15021.3,15115.3,15819.8,17581.3,17745.5,18467.5,18413.8,18471.3,18962.1,20540.6,20727.5,20593.4,21325.4,22201.3,(NA)
 "09000","Connecticut",1,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-414.1,-352.9,-367.3,-365.8,-381.0,-393.8,-449.8,-479.2,-539.6,-511.3,-489.1,-489.0,-608.7,-607.4,-673.9,-625.0,-601.2,-614.6,-614.8,-615.8,-552.1,-573.2,-580.5,-8686.5,-5768.6,-1351.9,(NA)
