"year","location_code","prodinit_ippu_rubber_and_leather_tonne"
2015,"CRI",14760.6623688479
2016,"CRI",12790.2508904471
2017,"CRI",13754.9850669999
2018,"CRI",13434.2003067164
2019,"CRI",13668.5596829101
2020,"CRI",12685.9419671159
2010,"CUB",6009.08285364625
2011,"CUB",5192.78761660722
2012,"CUB",7460.78312649693
2013,"CUB",6251.53029955005
2014,"CUB",6804.5780381995
2015,"CUB",10384.1326704551
2016,"CUB",9878.74443285777
2017,"CUB",6869.60761026874
2018,"CUB",6806.3153760862
2019,"CUB",6029.57308320429
2020,"CUB",5926.74956678274
2010,"CUW",130.346195349661
2011,"CUW",95.2857232041797
2012,"CUW",131.511568306625
2013,"CUW",138.683033916833
2014,"CUW",131.826935557861
2015,"CUW",150.432684828625
2016,"CUW",135.044067627249
2017,"CUW",129.639354006256
2018,"CUW",130.346195349661
2019,"CUW",130.346195349661
2020,"CUW",130.346195349661
2010,"CYM",151.066632825897
2011,"CYM",151.066632825897
2012,"CYM",151.066632825897
2013,"CYM",151.066632825897
2014,"CYM",151.066632825897
2015,"CYM",151.066632825897
2016,"CYM",151.066632825897
2017,"CYM",145.250433672765
2018,"CYM",148.819307728931
2019,"CYM",135.934359270567
2020,"CYM",174.262430631325
2010,"CYP",2117.59825215896
2011,"CYP",1962.30413849295
2012,"CYP",2023.15672604544
2013,"CYP",2042.52826458314
2014,"CYP",1603.93943039361
2015,"CYP",1592.61047969408
2016,"CYP",1491.59795940526
2017,"CYP",1477.47979223484
2018,"CYP",1656.91074735297
2019,"CYP",1594.27239930577
2020,"CYP",1397.93869744179
2010,"CZE",77650.9951698196
2011,"CZE",77245.3671163595
2012,"CZE",73958.4980254548
2013,"CZE",77760.4811225426
2014,"CZE",76570.0156504703
2015,"CZE",75497.9032812485
2016,"CZE",80768.0322214382
2017,"CZE",84037.1829128927
2018,"CZE",92119.2722399473
2019,"CZE",94375.5120587445
2020,"CZE",91245.9892527171
2010,"DEU",771786.554217772
2011,"DEU",766575.0497546
2012,"DEU",726092.998058995
2013,"DEU",786603.363031587
2014,"DEU",829037.746538837
2015,"DEU",779340.425850845
2016,"DEU",798594.0018857
2017,"DEU",797084.945084873
2018,"DEU",829322.997075241
