Year,iso_code3,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration
2026,KAZ,0.2406609693730835
2027,KAZ,0.2406609693730835
2028,KAZ,0.2406609693730835
2029,KAZ,0.2406609693730835
2030,KAZ,0.2406609693730835
2031,KAZ,0.2406609693730835
2032,KAZ,0.2406609693730835
2033,KAZ,0.2406609693730835
2034,KAZ,0.2406609693730835
2035,KAZ,0.2406609693730835
2036,KAZ,0.2406609693730835
2037,KAZ,0.2406609693730835
2038,KAZ,0.2406609693730835
2039,KAZ,0.2406609693730835
2040,KAZ,0.2406609693730835
2041,KAZ,0.2406609693730835
2042,KAZ,0.2406609693730835
2043,KAZ,0.2406609693730835
2044,KAZ,0.2406609693730835
2045,KAZ,0.2406609693730835
2046,KAZ,0.2406609693730835
2047,KAZ,0.2406609693730835
2048,KAZ,0.2406609693730835
2049,KAZ,0.2406609693730835
2050,KAZ,0.2406609693730835
2021,KEN,0.0
2022,KEN,0.0
2023,KEN,0.0
2024,KEN,0.0
2025,KEN,0.0
2026,KEN,0.0
2027,KEN,0.0
2028,KEN,0.0
2029,KEN,0.0
2030,KEN,0.0
2031,KEN,0.0
2032,KEN,0.0
2033,KEN,0.0
2034,KEN,0.0
2035,KEN,0.0
2036,KEN,0.0
2037,KEN,0.0
2038,KEN,0.0
2039,KEN,0.0
2040,KEN,0.0
2041,KEN,0.0
2042,KEN,0.0
2043,KEN,0.0
2044,KEN,0.0
2045,KEN,0.0
2046,KEN,0.0
2047,KEN,0.0
2048,KEN,0.0
2049,KEN,0.0
2050,KEN,0.0
2021,KGZ,0.0
2022,KGZ,0.0
2023,KGZ,0.0
2024,KGZ,0.0
2025,KGZ,0.0
2026,KGZ,0.0
2027,KGZ,0.0
2028,KGZ,0.0
2029,KGZ,0.0
2030,KGZ,0.0
2031,KGZ,0.0
2032,KGZ,0.0
2033,KGZ,0.0
2034,KGZ,0.0
2035,KGZ,0.0
2036,KGZ,0.0
2037,KGZ,0.0
2038,KGZ,0.0
2039,KGZ,0.0
2040,KGZ,0.0
2041,KGZ,0.0
2042,KGZ,0.0
2043,KGZ,0.0
2044,KGZ,0.0
2045,KGZ,0.0
2046,KGZ,0.0
2047,KGZ,0.0
2048,KGZ,0.0
2049,KGZ,0.0
2050,KGZ,0.0
2021,KHM,0.3867948261594777
2022,KHM,0.3867948261594777
2023,KHM,0.3867948261594777
2024,KHM,0.3867948261594777
2025,KHM,0.3867948261594777
2026,KHM,0.3867948261594777
2027,KHM,0.3867948261594777
2028,KHM,0.3867948261594777
2029,KHM,0.3867948261594777
2030,KHM,0.3867948261594777
2031,KHM,0.3867948261594777
2032,KHM,0.3867948261594777
2033,KHM,0.3867948261594777
2034,KHM,0.3867948261594777
2035,KHM,0.3867948261594777
2036,KHM,0.3867948261594777
2037,KHM,0.3867948261594777
2038,KHM,0.3867948261594777
2039,KHM,0.3867948261594777
2040,KHM,0.3867948261594777
2041,KHM,0.3867948261594777
2042,KHM,0.3867948261594777
2043,KHM,0.3867948261594777
2044,KHM,0.3867948261594777
2045,KHM,0.3867948261594777
2046,KHM,0.3867948261594777
2047,KHM,0.3867948261594777
2048,KHM,0.3867948261594777
2049,KHM,0.3867948261594777
2050,KHM,0.3867948261594777
2021,KIR,0.0
2022,KIR,0.0
2023,KIR,0.0
2024,KIR,0.0
2025,KIR,0.0
2026,KIR,0.0
2027,KIR,0.0
2028,KIR,0.0
2029,KIR,0.0
2030,KIR,0.0
2031,KIR,0.0
2032,KIR,0.0
2033,KIR,0.0
2034,KIR,0.0
2035,KIR,0.0
2036,KIR,0.0
2037,KIR,0.0
2038,KIR,0.0
2039,KIR,0.0
2040,KIR,0.0
2041,KIR,0.0
2042,KIR,0.0
2043,KIR,0.0
2044,KIR,0.0
2045,KIR,0.0
2046,KIR,0.0
2047,KIR,0.0
2048,KIR,0.0
2049,KIR,0.0
2050,KIR,0.0
2021,KNA,0.0
2022,KNA,0.0
2023,KNA,0.0
2024,KNA,0.0
2025,KNA,0.0
2026,KNA,0.0
2027,KNA,0.0
2028,KNA,0.0
2029,KNA,0.0
2030,KNA,0.0
2031,KNA,0.0
2032,KNA,0.0
2033,KNA,0.0
2034,KNA,0.0
2035,KNA,0.0
2036,KNA,0.0
2037,KNA,0.0
2038,KNA,0.0
2039,KNA,0.0
2040,KNA,0.0
2041,KNA,0.0
2042,KNA,0.0
2043,KNA,0.0
2044,KNA,0.0
2045,KNA,0.0
2046,KNA,0.0
2047,KNA,0.0
2048,KNA,0.0
2049,KNA,0.0
2050,KNA,0.0
2021,KOR,0.0
2022,KOR,0.0
2023,KOR,0.0
2024,KOR,0.0
2025,KOR,0.0
2026,KOR,0.0
2027,KOR,0.0
2028,KOR,0.0
2029,KOR,0.0
2030,KOR,0.0
2031,KOR,0.0
2032,KOR,0.0
2033,KOR,0.0
2034,KOR,0.0
2035,KOR,0.0
2036,KOR,0.0
2037,KOR,0.0
2038,KOR,0.0
2039,KOR,0.0
2040,KOR,0.0
2041,KOR,0.0
2042,KOR,0.0
2043,KOR,0.0
2044,KOR,0.0
2045,KOR,0.0
2046,KOR,0.0
2047,KOR,0.0
2048,KOR,0.0
2049,KOR,0.0
2050,KOR,0.0
2021,KWT,2.640766621612144
2022,KWT,2.640766621612144
2023,KWT,2.640766621612144
2024,KWT,2.640766621612144
2025,KWT,2.640766621612144
2026,KWT,2.640766621612144
2027,KWT,2.640766621612144
2028,KWT,2.640766621612144
2029,KWT,2.640766621612144
2030,KWT,2.640766621612144
2031,KWT,2.640766621612144
2032,KWT,2.640766621612144
2033,KWT,2.640766621612144
2034,KWT,2.640766621612144
2035,KWT,2.640766621612144
2036,KWT,2.640766621612144
2037,KWT,2.640766621612144
2038,KWT,2.640766621612144
2039,KWT,2.640766621612144
2040,KWT,2.640766621612144
2041,KWT,2.640766621612144
2042,KWT,2.640766621612144
2043,KWT,2.640766621612144
2044,KWT,2.640766621612144
2045,KWT,2.640766621612144
2046,KWT,2.640766621612144
2047,KWT,2.640766621612144
2048,KWT,2.640766621612144
2049,KWT,2.640766621612144
2050,KWT,2.640766621612144
2021,LAO,0.0
2022,LAO,0.0
2023,LAO,0.0
2024,LAO,0.0
2025,LAO,0.0
2026,LAO,0.0
2027,LAO,0.0
2028,LAO,0.0
2029,LAO,0.0
2030,LAO,0.0
2031,LAO,0.0
2032,LAO,0.0
2033,LAO,0.0
2034,LAO,0.0
2035,LAO,0.0
2036,LAO,0.0
2037,LAO,0.0
2038,LAO,0.0
2039,LAO,0.0
2040,LAO,0.0
2041,LAO,0.0
2042,LAO,0.0
2043,LAO,0.0
2044,LAO,0.0
2045,LAO,0.0
2046,LAO,0.0
2047,LAO,0.0
2048,LAO,0.0
2049,LAO,0.0
2050,LAO,0.0
2021,LBN,0.8887044912749346
2022,LBN,0.8887044912749346
2023,LBN,0.8887044912749346
2024,LBN,0.8887044912749346
2025,LBN,0.8887044912749346
2026,LBN,0.8887044912749346
2027,LBN,0.8887044912749346
2028,LBN,0.8887044912749346
2029,LBN,0.8887044912749346
2030,LBN,0.8887044912749346
2031,LBN,0.8887044912749346
2032,LBN,0.8887044912749346
2033,LBN,0.8887044912749346
2034,LBN,0.8887044912749346
2035,LBN,0.8887044912749346
2036,LBN,0.8887044912749346
2037,LBN,0.8887044912749346
2038,LBN,0.8887044912749346
2039,LBN,0.8887044912749346
2040,LBN,0.8887044912749346
2041,LBN,0.8887044912749346
2042,LBN,0.8887044912749346
2043,LBN,0.8887044912749346
2044,LBN,0.8887044912749346
2045,LBN,0.8887044912749346
2046,LBN,0.8887044912749346
2047,LBN,0.8887044912749346
2048,LBN,0.8887044912749346
2049,LBN,0.8887044912749346
2050,LBN,0.8887044912749346
2021,LBR,0.0
2022,LBR,0.0
2023,LBR,0.0
2024,LBR,0.0
2025,LBR,0.0
2026,LBR,0.0
2027,LBR,0.0
2028,LBR,0.0
2029,LBR,0.0
2030,LBR,0.0
2031,LBR,0.0
2032,LBR,0.0
2033,LBR,0.0
2034,LBR,0.0
2035,LBR,0.0
2036,LBR,0.0
2037,LBR,0.0
2038,LBR,0.0
2039,LBR,0.0
2040,LBR,0.0
2041,LBR,0.0
2042,LBR,0.0
2043,LBR,0.0
2044,LBR,0.0
2045,LBR,0.0
2046,LBR,0.0
2047,LBR,0.0
2048,LBR,0.0
2049,LBR,0.0
2050,LBR,0.0
2021,LBY,1.0130264127180673
2022,LBY,1.0130264127180673
2023,LBY,1.0130264127180673
2024,LBY,1.0130264127180673
2025,LBY,1.0130264127180673
2026,LBY,1.0130264127180673
2027,LBY,1.0130264127180673
2028,LBY,1.0130264127180673
2029,LBY,1.0130264127180673
2030,LBY,1.0130264127180673
2031,LBY,1.0130264127180673
2032,LBY,1.0130264127180673
2033,LBY,1.0130264127180673
2034,LBY,1.0130264127180673
2035,LBY,1.0130264127180673
2036,LBY,1.0130264127180673
2037,LBY,1.0130264127180673
2038,LBY,1.0130264127180673
2039,LBY,1.0130264127180673
2040,LBY,1.0130264127180673
2041,LBY,1.0130264127180673
2042,LBY,1.0130264127180673
2043,LBY,1.0130264127180673
2044,LBY,1.0130264127180673
2045,LBY,1.0130264127180673
2046,LBY,1.0130264127180673
2047,LBY,1.0130264127180673
2048,LBY,1.0130264127180673
2049,LBY,1.0130264127180673
2050,LBY,1.0130264127180673
2021,LCA,0.0
2022,LCA,0.0
2023,LCA,0.0
2024,LCA,0.0
2025,LCA,0.0
2026,LCA,0.0
2027,LCA,0.0
2028,LCA,0.0
2029,LCA,0.0
2030,LCA,0.0
2031,LCA,0.0
2032,LCA,0.0
2033,LCA,0.0
2034,LCA,0.0
2035,LCA,0.0
2036,LCA,0.0
2037,LCA,0.0
2038,LCA,0.0
2039,LCA,0.0
2040,LCA,0.0
2041,LCA,0.0
2042,LCA,0.0
2043,LCA,0.0
2044,LCA,0.0
2045,LCA,0.0
2046,LCA,0.0
2047,LCA,0.0
2048,LCA,0.0
2049,LCA,0.0
2050,LCA,0.0
2021,LIE,0.1972394917407481
2022,LIE,0.1972394917407481
2023,LIE,0.1972394917407481
2024,LIE,0.1972394917407481
2025,LIE,0.1972394917407481
2026,LIE,0.1972394917407481
2027,LIE,0.1972394917407481
2028,LIE,0.1972394917407481
2029,LIE,0.1972394917407481
2030,LIE,0.1972394917407481
2031,LIE,0.1972394917407481
2032,LIE,0.1972394917407481
2033,LIE,0.1972394917407481
2034,LIE,0.1972394917407481
2035,LIE,0.1972394917407481
2036,LIE,0.1972394917407481
2037,LIE,0.1972394917407481
2038,LIE,0.1972394917407481
2039,LIE,0.1972394917407481
2040,LIE,0.1972394917407481
2041,LIE,0.1972394917407481
2042,LIE,0.1972394917407481
2043,LIE,0.1972394917407481
2044,LIE,0.1972394917407481
2045,LIE,0.1972394917407481
2046,LIE,0.1972394917407481
2047,LIE,0.1972394917407481
2048,LIE,0.1972394917407481
2049,LIE,0.1972394917407481
2050,LIE,0.1972394917407481
2021,LKA,0.1184188161152436
2022,LKA,0.1184188161152436
2023,LKA,0.1184188161152436
2024,LKA,0.1184188161152436
2025,LKA,0.1184188161152436
2026,LKA,0.1184188161152436
2027,LKA,0.1184188161152436
2028,LKA,0.1184188161152436
2029,LKA,0.1184188161152436
2030,LKA,0.1184188161152436
2031,LKA,0.1184188161152436
2032,LKA,0.1184188161152436
2033,LKA,0.1184188161152436
