,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing,consumpinit_inen_energy_tj_per_tonne_production_cement,consumpinit_inen_energy_tj_per_tonne_production_chemicals,consumpinit_inen_energy_tj_per_tonne_production_electronics,consumpinit_inen_energy_tj_per_tonne_production_glass,consumpinit_inen_energy_tj_per_tonne_production_lime_and_carbonite,consumpinit_inen_energy_tj_per_tonne_production_metals,consumpinit_inen_energy_tj_per_tonne_production_mining,consumpinit_inen_energy_tj_per_tonne_production_paper,consumpinit_inen_energy_tj_per_tonne_production_plastic,consumpinit_inen_energy_tj_per_tonne_production_recycled_glass,consumpinit_inen_energy_tj_per_tonne_production_recycled_metals,consumpinit_inen_energy_tj_per_tonne_production_recycled_paper,consumpinit_inen_energy_tj_per_tonne_production_recycled_plastic,consumpinit_inen_energy_tj_per_tonne_production_recycled_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_recycled_textiles,consumpinit_inen_energy_tj_per_tonne_production_recycled_wood,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_textiles,consumpinit_inen_energy_tj_per_tonne_production_wood,consumpinit_inen_energy_total_pj_agriculture_and_livestock
10,United States,USA,2021,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0033254223782261,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
11,United States,USA,2022,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0032743236142683,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
12,United States,USA,2023,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0032232454816001,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
13,United States,USA,2024,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0031722343454989,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
14,United States,USA,2025,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0031213337210445,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
15,United States,USA,2026,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0030789591697012,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
16,United States,USA,2027,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.00303626278148,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
17,United States,USA,2028,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0029933037009362,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
18,United States,USA,2029,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0029501377613382,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
19,United States,USA,2030,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0029068176317233,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
20,United States,USA,2031,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0028584726269085,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
21,United States,USA,2032,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0028103702617707,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
22,United States,USA,2033,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0027625407796567,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
23,United States,USA,2034,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0027150123511719,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
24,United States,USA,2035,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0026678111725505,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
25,United States,USA,2036,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0026184116760713,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
26,United States,USA,2037,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0025695419627532,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
27,United States,USA,2038,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0025212157263565,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
28,United States,USA,2039,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0024734453307608,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
29,United States,USA,2040,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0024262418784024,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
30,United States,USA,2041,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0023774861079693,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
31,United States,USA,2042,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.002329445963101,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
32,United States,USA,2043,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0022821231904373,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
33,United States,USA,2044,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0022355187629958,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
34,United States,USA,2045,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0021896329257795,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
35,United States,USA,2046,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0021420831087879,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
36,United States,USA,2047,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0020953958081843,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
37,United States,USA,2048,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0020495626777857,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
38,United States,USA,2049,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0020045750771289,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
39,United States,USA,2050,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.0019604240972172,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
