Year,iso_code3,ef_ippu_tonne_sf6_per_tonne_production_electronics
2012,CHL,3.007523423232815e-07
2013,CHL,2.835554881922555e-07
2014,CHL,3.0590789106267053e-07
2015,CHL,2.698667182764035e-07
2016,CHL,2.565832097860856e-07
2017,CHL,2.6220075340078935e-07
2018,CHL,2.820186661453035e-07
2019,CHL,2.828406305203225e-07
2020,CHL,2.516331854725823e-07
2010,CHN,2.7237489938746047e-06
2011,CHN,2.494456874089422e-06
2012,CHN,2.3825962076799525e-06
2013,CHN,2.2767673624393834e-06
2014,CHN,2.305977621576709e-06
2015,CHN,2.0639092184373384e-06
2016,CHN,1.8583252427235132e-06
2017,CHN,1.8606644548204349e-06
2018,CHN,1.8280909562122825e-06
2019,CHN,1.8100386986473452e-06
2020,CHN,1.7309304785516662e-06
2010,CIV,0.0
2011,CIV,0.0
2012,CIV,0.0
2013,CIV,0.0
2014,CIV,0.0
2015,CIV,0.0
2016,CIV,0.0
2017,CIV,0.0
2018,CIV,0.0
2019,CIV,0.0
2020,CIV,0.0
2010,CMR,0.0
2011,CMR,0.0
2012,CMR,0.0
2013,CMR,0.0
2014,CMR,0.0
2015,CMR,0.0
2016,CMR,0.0
2017,CMR,0.0
2018,CMR,0.0
2019,CMR,0.0
2020,CMR,0.0
2010,COD,0.0
2011,COD,0.0
2012,COD,0.0
2013,COD,0.0
2014,COD,0.0
2015,COD,0.0
2016,COD,0.0
2017,COD,0.0
2018,COD,0.0
2019,COD,0.0
2020,COD,0.0
2010,COG,0.0
2011,COG,0.0
2012,COG,0.0
2013,COG,0.0
2014,COG,0.0
2015,COG,0.0
2016,COG,0.0
2017,COG,0.0
2018,COG,0.0
2019,COG,0.0
2020,COG,0.0
2010,COL,6.92787794776038e-08
2011,COL,6.918995618643334e-08
2012,COL,5.8468048026951e-08
2013,COL,5.9326468768633525e-08
2014,COL,5.788796432881819e-08
2015,COL,7.05520898646477e-08
2016,COL,8.140594262736057e-08
2017,COL,7.23401347334878e-08
2018,COL,7.278318475321934e-08
2019,COL,7.12823802865293e-08
2020,COL,8.064677271190467e-08
2010,COM,0.0
2011,COM,0.0
2012,COM,0.0
2013,COM,0.0
2014,COM,0.0
2015,COM,0.0
2016,COM,0.0
2017,COM,0.0
2018,COM,0.0
2019,COM,0.0
2020,COM,0.0
2010,CPV,0.0
2011,CPV,0.0
2012,CPV,0.0
2013,CPV,0.0
2014,CPV,0.0
2015,CPV,0.0
2016,CPV,0.0
2017,CPV,0.0
2018,CPV,0.0
2019,CPV,0.0
2020,CPV,0.0
2010,CRI,0.0
2011,CRI,0.0
2012,CRI,0.0
