SUBJECT,LOCATION,TIME,Value,INDICATOR,MEASURE,FREQUENCY
COAST,AZE,2013,4632,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,FIN,2020,2519,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KAZ,2018,1406.3,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KWT,2015,14254.91963,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DJI,2018,8298.326858,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ABW,2012,9517.242087,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AZE,2015,2937,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,IRQ,2014,31678.00495,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,JOR,2020,8191.633903,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AFG,2012,7916.1442,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GNQ,2014,9240.491775,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BWA,2021,10042.67074,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SAU,2015,180587.9813,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KEN,2018,10278.71721,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GAB,2021,9254.85951,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PHL,2015,91770.96471,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SAU,2016,179595.4897,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ABW,2015,12602.37302,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEN,2015,7695.023,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PRY,2012,8543.42297,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARE,2012,41977.01325,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHE,2021,38969.18977,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,LBN,2018,17261.90317,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AZE,2018,4576,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NZL,2011,7725.483,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,LUX,2014,3480.218183,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,LBR,2018,7774.389861,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MWI,2021,8242.388383,FREIGHTTRANSP,MLN_TONNEKM,A
