,regio,time_period,ab_frac_trns_mtkm_dem_freight_road_heavy_freight
85,brazil,13,0.6048993685423413
86,brazil,14,0.6048993685423413
87,brazil,15,0.6048993685423413
88,brazil,16,0.6048993685423413
89,brazil,17,0.6048993685423413
90,brazil,18,0.6048993685423413
91,brazil,19,0.6048993685423413
92,brazil,20,0.6048993685423413
93,brazil,21,0.6048993685423413
94,brazil,22,0.6048993685423413
95,brazil,23,0.6048993685423413
96,brazil,24,0.6048993685423413
97,brazil,25,0.6048993685423413
98,brazil,26,0.6048993685423413
99,brazil,27,0.6048993685423413
100,brazil,28,0.6048993685423413
101,brazil,29,0.6048993685423413
102,brazil,30,0.6048993685423413
103,brazil,31,0.6048993685423413
104,brazil,32,0.6048993685423413
105,brazil,33,0.6048993685423413
106,brazil,34,0.6048993685423413
107,brazil,35,0.6048993685423413
108,chile,0,0.8464494538315175
109,chile,1,0.8467641944198254
110,chile,2,0.9448858695569305
111,chile,3,0.9333469281046045
112,chile,4,0.9408905872805143
113,chile,5,0.9508384396225033
114,chile,6,0.9508384396225033
115,chile,7,0.9508384396225033
116,chile,8,0.9508384396225033
117,chile,9,0.9508384396225033
118,chile,10,0.9508384396225033
119,chile,11,0.9508384396225033
120,chile,12,0.9508384396225033
121,chile,13,0.9508384396225033
122,chile,14,0.9508384396225033
123,chile,15,0.9508384396225033
124,chile,16,0.9508384396225033
125,chile,17,0.9508384396225033
126,chile,18,0.9508384396225033
127,chile,19,0.9508384396225033
128,chile,20,0.9508384396225033
129,chile,21,0.9508384396225033
130,chile,22,0.9508384396225033
131,chile,23,0.9508384396225033
132,chile,24,0.9508384396225033
133,chile,25,0.9508384396225033
134,chile,26,0.9508384396225033
135,chile,27,0.9508384396225033
136,chile,28,0.9508384396225033
137,chile,29,0.9508384396225033
138,chile,30,0.9508384396225033
139,chile,31,0.9508384396225033
140,chile,32,0.9508384396225033
141,chile,33,0.9508384396225033
142,chile,34,0.9508384396225033
143,chile,35,0.9508384396225033
144,colombia,0,0.5954800228339298
145,colombia,1,0.5948814148715764
146,colombia,2,0.5937458025379743
147,colombia,3,0.5926197287390258
148,colombia,4,0.5916808056892013
149,colombia,5,0.5914377166692627
150,colombia,6,0.5914377166692627
151,colombia,7,0.5914377166692627
152,colombia,8,0.5914377166692627
153,colombia,9,0.5914377166692627
154,colombia,10,0.5914377166692627
155,colombia,11,0.5914377166692627
156,colombia,12,0.5914377166692627
157,colombia,13,0.5914377166692627
158,colombia,14,0.5914377166692627
159,colombia,15,0.5914377166692627
160,colombia,16,0.5914377166692627
161,colombia,17,0.5914377166692627
162,colombia,18,0.5914377166692627
163,colombia,19,0.5914377166692627
164,colombia,20,0.5914377166692627
165,colombia,21,0.5914377166692627
166,colombia,22,0.5914377166692627
167,colombia,23,0.5914377166692627
168,colombia,24,0.5914377166692627
169,colombia,25,0.5914377166692627
170,colombia,26,0.5914377166692627
171,colombia,27,0.5914377166692627
172,colombia,28,0.5914377166692627
173,colombia,29,0.5914377166692627
174,colombia,30,0.5914377166692627
175,colombia,31,0.5914377166692627
176,colombia,32,0.5914377166692627
177,colombia,33,0.5914377166692627
178,colombia,34,0.5914377166692627
179,colombia,35,0.5914377166692627
180,costa_rica,0,0.6053375130896937
181,costa_rica,1,0.6091761373651231
182,costa_rica,2,0.6128440762060523
183,costa_rica,3,0.6164406736102565
184,costa_rica,4,0.619950173379467
185,costa_rica,5,0.623435006430799
186,costa_rica,6,0.623435006430799
187,costa_rica,7,0.623435006430799
188,costa_rica,8,0.623435006430799
189,costa_rica,9,0.623435006430799
190,costa_rica,10,0.623435006430799
191,costa_rica,11,0.623435006430799
192,costa_rica,12,0.623435006430799
193,costa_rica,13,0.623435006430799
194,costa_rica,14,0.623435006430799
195,costa_rica,15,0.623435006430799
196,costa_rica,16,0.623435006430799
197,costa_rica,17,0.623435006430799
198,costa_rica,18,0.623435006430799
199,costa_rica,19,0.623435006430799
200,costa_rica,20,0.623435006430799
201,costa_rica,21,0.623435006430799
202,costa_rica,22,0.623435006430799
203,costa_rica,23,0.623435006430799
204,costa_rica,24,0.623435006430799
205,costa_rica,25,0.623435006430799
206,costa_rica,26,0.623435006430799
207,costa_rica,27,0.623435006430799
208,costa_rica,28,0.623435006430799
209,costa_rica,29,0.623435006430799
210,costa_rica,30,0.623435006430799
211,costa_rica,31,0.623435006430799
212,costa_rica,32,0.623435006430799
213,costa_rica,33,0.623435006430799
214,costa_rica,34,0.623435006430799
215,costa_rica,35,0.623435006430799
216,dominican_republic,0,0.6787785947125715
217,dominican_republic,1,0.6845967862440617
218,dominican_republic,2,0.6896945531384314
219,dominican_republic,3,0.694211839035444
220,dominican_republic,4,0.6982465901166438
221,dominican_republic,5,0.7018748452299096
222,dominican_republic,6,0.7018748452299096
223,dominican_republic,7,0.7018748452299096
224,dominican_republic,8,0.7018748452299096
225,dominican_republic,9,0.7018748452299096
226,dominican_republic,10,0.7018748452299096
227,dominican_republic,11,0.7018748452299096
228,dominican_republic,12,0.7018748452299096
229,dominican_republic,13,0.7018748452299096
230,dominican_republic,14,0.7018748452299096
231,dominican_republic,15,0.7018748452299096
232,dominican_republic,16,0.7018748452299096
233,dominican_republic,17,0.7018748452299096
234,dominican_republic,18,0.7018748452299096
235,dominican_republic,19,0.7018748452299096
236,dominican_republic,20,0.7018748452299096
237,dominican_republic,21,0.7018748452299096
238,dominican_republic,22,0.7018748452299096
239,dominican_republic,23,0.7018748452299096
240,dominican_republic,24,0.7018748452299096
241,dominican_republic,25,0.7018748452299096
242,dominican_republic,26,0.7018748452299096
243,dominican_republic,27,0.7018748452299096
244,dominican_republic,28,0.7018748452299096
245,dominican_republic,29,0.7018748452299096
246,dominican_republic,30,0.7018748452299096
247,dominican_republic,31,0.7018748452299096
248,dominican_republic,32,0.7018748452299096
249,dominican_republic,33,0.7018748452299096
250,dominican_republic,34,0.7018748452299096
251,dominican_republic,35,0.7018748452299096
252,ecuador,0,0.6698312186339483
253,ecuador,1,0.6666292508621909
254,ecuador,2,0.6630507615842502
255,ecuador,3,0.6590516229316103
256,ecuador,4,0.65489726319514
257,ecuador,5,0.6507244629638221
258,ecuador,6,0.6507244629638221
259,ecuador,7,0.6507244629638221
260,ecuador,8,0.6507244629638221
261,ecuador,9,0.6507244629638221
262,ecuador,10,0.6507244629638221
263,ecuador,11,0.6507244629638221
264,ecuador,12,0.6507244629638221
265,ecuador,13,0.6507244629638221
266,ecuador,14,0.6507244629638221
267,ecuador,15,0.6507244629638221
268,ecuador,16,0.6507244629638221
269,ecuador,17,0.6507244629638221
270,ecuador,18,0.6507244629638221
271,ecuador,19,0.6507244629638221
272,ecuador,20,0.6507244629638221
273,ecuador,21,0.6507244629638221
274,ecuador,22,0.6507244629638221
275,ecuador,23,0.6507244629638221
276,ecuador,24,0.6507244629638221
277,ecuador,25,0.6507244629638221
278,ecuador,26,0.6507244629638221
279,ecuador,27,0.6507244629638221
280,ecuador,28,0.6507244629638221
281,ecuador,29,0.6507244629638221
282,ecuador,30,0.6507244629638221
283,ecuador,31,0.6507244629638221
284,ecuador,32,0.6507244629638221
285,ecuador,33,0.6507244629638221
286,ecuador,34,0.6507244629638221
287,ecuador,35,0.6507244629638221
288,guatemala,0,0.6185131507776324
289,guatemala,1,0.6245826187991596
290,guatemala,2,0.6300893713921553
291,guatemala,3,0.6351012392571979
292,guatemala,4,0.6397047946703968
293,guatemala,5,0.6439476684830617
294,guatemala,6,0.6439476684830617
